ID,experimental_replicate,concentration,growth
40,1,0,80.55
40,1,0,79.43
40,1,0,78.86
26,1,0,83.05
26,1,0,82.81
26,1,0,82.43
20,1,0,83.69
20,1,0,82.02
20,1,0,83.13
7,1,0,84.00
7,1,0,84.00
7,1,0,83.19
42,1,0,80.00
42,1,0,80.57
42,1,0,79.34
44,1,0,80.95
44,1,0,81.75
44,1,0,81.93
27,1,0,79.49
27,1,0,80.42
27,1,0,78.92
43,1,0,84.00
43,1,0,84.00
43,1,0,84.00
40,1,1,69.58
40,1,1,69.66
40,1,1,69.90
26,1,1,74.05
26,1,1,73.94
26,1,1,73.33
20,1,1,72.01
20,1,1,70.06
20,1,1,70.47
7,1,1,75.50
7,1,1,74.51
7,1,1,74.56
42,1,1,71.67
42,1,1,71.99
42,1,1,72.27
44,1,1,72.23
44,1,1,72.94
44,1,1,71.27
27,1,1,70.26
27,1,1,70.97
27,1,1,70.04
43,1,1,74.16
43,1,1,75.25
43,1,1,75.16
40,1,5,66.82
40,1,5,66.32
40,1,5,66.11
26,1,5,64.88
26,1,5,65.99
26,1,5,66.12
20,1,5,63.40
20,1,5,65.98
20,1,5,65.79
7,1,5,69.17
7,1,5,68.02
7,1,5,68.09
42,1,5,66.98
42,1,5,67.09
42,1,5,66.93
44,1,5,67.29
44,1,5,68.05
44,1,5,67.43
27,1,5,67.97
27,1,5,67.00
27,1,5,66.70
43,1,5,70.68
43,1,5,70.44
43,1,5,71.07
40,1,10,64.00
40,1,10,63.07
40,1,10,64.30
26,1,10,62.26
26,1,10,62.33
26,1,10,62.16
20,1,10,58.92
20,1,10,59.84
20,1,10,58.70
7,1,10,67.22
7,1,10,66.85
7,1,10,66.88
42,1,10,63.36
42,1,10,64.82
42,1,10,63.91
44,1,10,64.91
44,1,10,63.82
44,1,10,64.09
27,1,10,62.76
27,1,10,62.21
27,1,10,62.93
43,1,10,67.39
43,1,10,67.57
43,1,10,66.28
40,1,50,62.20
40,1,50,60.18
40,1,50,61.40
26,1,50,58.07
26,1,50,57.52
26,1,50,57.60
20,1,50,54.35
20,1,50,56.21
20,1,50,54.85
7,1,50,63.35
7,1,50,62.85
7,1,50,62.17
42,1,50,56.31
42,1,50,56.25
42,1,50,55.82
44,1,50,57.22
44,1,50,57.78
44,1,50,55.75
27,1,50,58.47
27,1,50,59.04
27,1,50,57.12
43,1,50,64.17
43,1,50,63.76
43,1,50,64.50
40,1,100,58.48
40,1,100,59.71
40,1,100,58.07
26,1,100,52.59
26,1,100,50.19
26,1,100,51.27
20,1,100,51.03
20,1,100,49.82
20,1,100,51.00
7,1,100,56.17
7,1,100,57.07
7,1,100,56.43
42,1,100,55.21
42,1,100,55.15
42,1,100,53.13
44,1,100,54.12
44,1,100,53.38
44,1,100,53.71
27,1,100,52.99
27,1,100,53.86
27,1,100,53.35
43,1,100,60.03
43,1,100,59.06
43,1,100,59.49
43,2,0,82.13
43,2,0,80.28
43,2,0,81.66
44,2,0,82.88
44,2,0,81.83
44,2,0,82.61
40,2,0,82.39
40,2,0,81.60
40,2,0,82.95
42,2,0,83.22
42,2,0,82.70
42,2,0,83.90
7,2,0,82.49
7,2,0,82.26
7,2,0,81.03
20,2,0,84.00
20,2,0,83.05
20,2,0,82.99
26,2,0,82.12
26,2,0,82.50
26,2,0,82.28
27,2,0,82.09
27,2,0,81.88
27,2,0,82.24
43,2,1,68.04
43,2,1,69.96
43,2,1,69.33
44,2,1,74.08
44,2,1,75.63
44,2,1,74.75
40,2,1,65.53
40,2,1,66.89
40,2,1,66.66
42,2,1,71.51
42,2,1,70.84
42,2,1,71.84
7,2,1,72.52
7,2,1,71.77
7,2,1,72.52
20,2,1,70.31
20,2,1,69.89
20,2,1,70.08
26,2,1,70.51
26,2,1,69.55
26,2,1,71.58
27,2,1,73.91
27,2,1,75.32
27,2,1,74.67
43,2,5,63.59
43,2,5,63.11
43,2,5,62.54
44,2,5,71.89
44,2,5,72.33
44,2,5,71.78
40,2,5,63.08
40,2,5,63.68
40,2,5,63.54
42,2,5,62.98
42,2,5,63.27
42,2,5,63.55
7,2,5,69.23
7,2,5,67.45
7,2,5,68.04
20,2,5,64.69
20,2,5,64.14
20,2,5,62.93
26,2,5,64.67
26,2,5,65.26
26,2,5,64.53
27,2,5,68.22
27,2,5,68.92
27,2,5,69.39
43,2,10,59.46
43,2,10,59.23
43,2,10,60.46
44,2,10,68.28
44,2,10,67.44
44,2,10,66.67
40,2,10,56.63
40,2,10,56.05
40,2,10,55.94
42,2,10,59.49
42,2,10,58.83
42,2,10,59.15
7,2,10,56.68
7,2,10,57.11
7,2,10,57.65
20,2,10,59.24
20,2,10,58.22
20,2,10,58.40
26,2,10,60.64
26,2,10,58.97
26,2,10,60.54
27,2,10,65.96
27,2,10,64.92
27,2,10,64.58
43,2,50,56.26
43,2,50,56.50
43,2,50,56.25
44,2,50,62.60
44,2,50,63.43
44,2,50,63.12
40,2,50,51.99
40,2,50,51.62
40,2,50,51.45
42,2,50,55.44
42,2,50,56.12
42,2,50,56.01
7,2,50,54.83
7,2,50,54.99
7,2,50,54.84
20,2,50,55.25
20,2,50,56.21
20,2,50,55.57
26,2,50,55.39
26,2,50,53.50
26,2,50,54.21
27,2,50,61.94
27,2,50,62.58
27,2,50,61.03
43,2,100,52.66
43,2,100,51.78
43,2,100,51.73
44,2,100,58.93
44,2,100,59.18
44,2,100,58.26
40,2,100,48.48
40,2,100,46.23
40,2,100,45.19
42,2,100,53.69
42,2,100,51.11
42,2,100,51.49
7,2,100,49.84
7,2,100,49.78
