ID,experimental_replicate,concentration,num_sclerotia
1,1,0,420
1,1,0,300
1,1,0,320
2,1,0,150
2,1,0,190
2,1,0,200
3,1,0,360
3,1,0,400
3,1,0,350
4,1,0,306
4,1,0,106
4,1,0,98
5,1,0,60
5,1,0,70
5,1,0,50
6,1,0,280
6,1,0,260
6,1,0,250
7,1,0,350
7,1,0,320
7,1,0,340
8,1,0,250
8,1,0,300
8,1,0,190
9,1,0,120
9,1,0,115
9,1,0,160
10,1,0,260
10,1,0,200
10,1,0,180
11,1,0,400
11,1,0,190
11,1,0,200
12,1,0,280
12,1,0,270
12,1,0,260
13,1,0,380
13,1,0,390
13,1,0,360
14,1,0,220
14,1,0,290
14,1,0,300
15,1,0,300
15,1,0,380
15,1,0,380
16,1,0,400
16,1,0,350
16,1,0,380
17,1,0,90
17,1,0,130
17,1,0,150
18,1,0,220
18,1,0,250
18,1,0,240
19,1,0,290
19,1,0,250
19,1,0,270
20,1,0,120
20,1,0,110
20,1,0,100
21,1,0,300
21,1,0,350
21,1,0,320
22,1,0,280
22,1,0,280
22,1,0,290
23,1,0,400
23,1,0,400
23,1,0,469
24,1,0,300
24,1,0,280
24,1,0,290
25,1,0,290
25,1,0,300
25,1,0,300
26,1,0,200
26,1,0,180
26,1,0,180
27,1,0,200
27,1,0,200
27,1,0,210
28,1,0,130
28,1,0,130
28,1,0,100
29,1,0,120
29,1,0,120
29,1,0,115
30,1,0,60
30,1,0,200
30,1,0,60
31,1,0,30
31,1,0,35
31,1,0,19
32,1,0,280
32,1,0,200
32,1,0,250
33,1,0,110
33,1,0,160
33,1,0,140
34,1,0,90
34,1,0,90
34,1,0,90
35,1,0,220
35,1,0,230
35,1,0,220
36,1,0,400
36,1,0,360
36,1,0,390
37,1,0,190
37,1,0,200
37,1,0,180
38,1,0,85
38,1,0,90
38,1,0,80
39,1,0,200
39,1,0,120
39,1,0,120
40,1,0,160
40,1,0,250
40,1,0,200
41,1,0,30
41,1,0,35
41,1,0,20
42,1,0,110
42,1,0,105
42,1,0,101
43,1,0,250
43,1,0,200
43,1,0,200
44,1,0,420
44,1,0,350
44,1,0,400
45,1,0,500
45,1,0,420
45,1,0,460
46,1,0,300
46,1,0,250
46,1,0,300
47,1,0,300
47,1,0,310
47,1,0,290
48,1,0,75
48,1,0,45
48,1,0,40
49,1,0,280
49,1,0,300
49,1,0,280
50,1,0,260
50,1,0,200
50,1,0,210
1,1,1,220
1,1,1,310
1,1,1,300
2,1,1,90
2,1,1,80
2,1,1,101
3,1,1,300
3,1,1,300
3,1,1,150
4,1,1,119
4,1,1,120
4,1,1,100
5,1,1,60
5,1,1,69
5,1,1,40
6,1,1,180
6,1,1,190
6,1,1,150
7,1,1,220
7,1,1,300
7,1,1,250
8,1,1,290
8,1,1,210
8,1,1,200
9,1,1,110
9,1,1,100
9,1,1,100
10,1,1,160
10,1,1,130
10,1,1,140
11,1,1,100
11,1,1,260
11,1,1,300
12,1,1,180
12,1,1,100
12,1,1,280
13,1,1,300
13,1,1,350
13,1,1,380
14,1,1,50
14,1,1,50
14,1,1,200
15,1,1,300
15,1,1,280
15,1,1,310
16,1,1,387
16,1,1,300
16,1,1,320
17,1,1,160
17,1,1,90
17,1,1,100
18,1,1,200
18,1,1,280
18,1,1,210
19,1,1,200
19,1,1,150
19,1,1,130
20,1,1,100
20,1,1,101
20,1,1,100
21,1,1,40
21,1,1,100
21,1,1,90
22,1,1,200
22,1,1,250
22,1,1,120
23,1,1,380
23,1,1,450
23,1,1,380
24,1,1,200
24,1,1,220
24,1,1,200
25,1,1,230
25,1,1,200
25,1,1,180
26,1,1,140
26,1,1,200
26,1,1,160
27,1,1,160
27,1,1,200
27,1,1,220
28,1,1,70
28,1,1,60
28,1,1,90
29,1,1,100
29,1,1,15
29,1,1,100
30,1,1,60
30,1,1,130
30,1,1,100
31,1,1,24
31,1,1,40
31,1,1,30
32,1,1,140
32,1,1,200
32,1,1,180
33,1,1,90
33,1,1,97
33,1,1,116
34,1,1,70
34,1,1,50
34,1,1,55
35,1,1,130
35,1,1,160
35,1,1,160
36,1,1,350
36,1,1,300
36,1,1,300
37,1,1,230
37,1,1,200
37,1,1,180
38,1,1,60
38,1,1,80
38,1,1,130
39,1,1,100
39,1,1,180
39,1,1,180
40,1,1,220
40,1,1,200
40,1,1,200
41,1,1,41
41,1,1,20
41,1,1,30
42,1,1,80
42,1,1,120
42,1,1,110
43,1,1,96
43,1,1,110
43,1,1,99
44,1,1,200
44,1,1,180
44,1,1,200
45,1,1,300
45,1,1,160
45,1,1,130
46,1,1,100
46,1,1,150
46,1,1,200
47,1,1,150
47,1,1,130
47,1,1,200
48,1,1,50
48,1,1,60
48,1,1,60
49,1,1,210
49,1,1,236
49,1,1,194
50,1,1,130
50,1,1,120
50,1,1,100
1,1,5,210
1,1,5,300
1,1,5,220
2,1,5,55
2,1,5,90
2,1,5,100
3,1,5,220
3,1,5,240
3,1,5,230
4,1,5,100
4,1,5,100
4,1,5,80
5,1,5,40
5,1,5,40
5,1,5,30
6,1,5,120
6,1,5,90
6,1,5,110
7,1,5,250
7,1,5,200
7,1,5,300
8,1,5,130
8,1,5,100
8,1,5,130
9,1,5,90
9,1,5,90
9,1,5,100
10,1,5,100
10,1,5,80
10,1,5,120
11,1,5,200
11,1,5,160
11,1,5,150
12,1,5,180
12,1,5,160
12,1,5,200
13,1,5,300
13,1,5,280
13,1,5,290
14,1,5,250
14,1,5,65
14,1,5,230
15,1,5,300
15,1,5,420
15,1,5,100
16,1,5,300
16,1,5,350
16,1,5,350
17,1,5,104
17,1,5,86
17,1,5,45
18,1,5,180
18,1,5,210
18,1,5,200
19,1,5,150
19,1,5,200
19,1,5,180
20,1,5,220
20,1,5,190
20,1,5,180
21,1,5,35
21,1,5,20
21,1,5,100
22,1,5,210
22,1,5,210
22,1,5,200
23,1,5,180
23,1,5,80
23,1,5,90
24,1,5,120
24,1,5,140
24,1,5,160
25,1,5,200
25,1,5,180
25,1,5,200
26,1,5,70
26,1,5,100
