ID,experimental_replicate,concentration,growth
CHI 1-3,1,0,75.39
CHI 1-3,1,0,76.21
CHI 1-3,1,0,76.08
CHI 1-3,1,0.05,53.42
CHI 1-3,1,0.05,53.11
CHI 1-3,1,0.05,52.91
CHI 1-3,1,0.1,49.48
CHI 1-3,1,0.1,50.44
CHI 1-3,1,0.1,50.12
CHI 1-3,1,0.5,44.14
CHI 1-3,1,0.5,43.80
CHI 1-3,1,0.5,45.59
CHI 1-3,1,1,40.40
CHI 1-3,1,1,41.77
CHI 1-3,1,1,39.41
CHI 1-3,1,5,36.65
CHI 1-3,1,5,36.39
CHI 1-3,1,5,37.66
CHI 1-3,1,10,34.19
CHI 1-3,1,10,33.91
CHI 1-3,1,10,33.84
CHI 1-3,1,50,29.73
CHI 1-3,1,50,29.85
CHI 1-3,1,50,28.59
CHI 1-3,2,0,71.30
CHI 1-3,2,0,72.23
CHI 1-3,2,0,71.94
CHI 1-3,2,0.05,58.48
CHI 1-3,2,0.05,59.74
CHI 1-3,2,0.05,58.31
CHI 1-3,2,0.1,50.92
CHI 1-3,2,0.1,51.20
CHI 1-3,2,0.1,50.70
CHI 1-3,2,0.5,45.75
CHI 1-3,2,0.5,44.09
CHI 1-3,2,0.5,44.78
CHI 1-3,2,1,42.28
CHI 1-3,2,1,43.75
CHI 1-3,2,1,42.79
CHI 1-3,2,5,38.48
CHI 1-3,2,5,39.91
CHI 1-3,2,5,39.46
CHI 1-3,2,10,35.17
CHI 1-3,2,10,34.58
CHI 1-3,2,10,34.17
CHI 1-3,2,50,32.29
CHI 1-3,2,50,32.05
CHI 1-3,2,50,31.03
CHI 2-2,1,0,68.10
CHI 2-2,1,0,68.29
CHI 2-2,1,0,67.27
CHI 2-2,1,0.05,57.13
CHI 2-2,1,0.05,57.20
CHI 2-2,1,0.05,58.02
CHI 2-2,1,0.1,53.33
CHI 2-2,1,0.1,53.62
CHI 2-2,1,0.1,54.43
CHI 2-2,1,0.5,51.29
CHI 2-2,1,0.5,50.23
CHI 2-2,1,0.5,51.14
CHI 2-2,1,1,50.74
CHI 2-2,1,1,49.75
CHI 2-2,1,1,49.89
CHI 2-2,1,5,46.69
CHI 2-2,1,5,47.52
CHI 2-2,1,5,47.67
CHI 2-2,1,10,45.72
CHI 2-2,1,10,44.94
CHI 2-2,1,10,45.17
CHI 2-2,1,50,40.99
CHI 2-2,1,50,39.57
CHI 2-2,1,50,41.21
CHI 2-2,2,0,64.65
CHI 2-2,2,0,64.80
CHI 2-2,2,0,62.58
CHI 2-2,2,0.05,60.59
CHI 2-2,2,0.05,59.28
CHI 2-2,2,0.05,60.09
CHI 2-2,2,0.1,57.90
CHI 2-2,2,0.1,57.36
CHI 2-2,2,0.1,58.39
CHI 2-2,2,0.5,55.10
CHI 2-2,2,0.5,53.48
CHI 2-2,2,0.5,55.74
CHI 2-2,2,1,46.79
CHI 2-2,2,1,47.12
CHI 2-2,2,1,47.49
CHI 2-2,2,5,41.12
CHI 2-2,2,5,39.65
CHI 2-2,2,5,39.84
CHI 2-2,2,10,38.14
CHI 2-2,2,10,37.48
CHI 2-2,2,10,37.66
CHI 2-2,2,50,35.85
CHI 2-2,2,50,35.09
CHI 2-2,2,50,34.88
CHI 3-3,1,0,75.00
CHI 3-3,1,0,75.47
CHI 3-3,1,0,74.04
CHI 3-3,1,0.05,52.71
CHI 3-3,1,0.05,53.57
CHI 3-3,1,0.05,51.88
CHI 3-3,1,0.1,48.13
CHI 3-3,1,0.1,48.22
CHI 3-3,1,0.1,47.67
CHI 3-3,1,0.5,45.75
CHI 3-3,1,0.5,44.05
