ID,experimental_replicate,concentration,growth
CHI 1-3,1,0,80.42
CHI 1-3,1,0,80.37
CHI 1-3,1,0,78.90
CHI 1-3,1,0.05,70.84
CHI 1-3,1,0.05,71.14
CHI 1-3,1,0.05,69.91
CHI 1-3,1,0.1,64.50
CHI 1-3,1,0.1,65.35
CHI 1-3,1,0.1,64.54
CHI 1-3,1,0.25,33.18
CHI 1-3,1,0.25,32.25
CHI 1-3,1,0.25,34.64
CHI 1-3,1,0.5,18.52
CHI 1-3,1,0.5,16.61
CHI 1-3,1,0.5,19.39
CHI 1-3,1,0.75,15.36
CHI 1-3,1,0.75,14.77
CHI 1-3,1,0.75,16.55
CHI 1-3,1,1,13.16
CHI 1-3,1,1,12.35
CHI 1-3,1,1,12.32
CHI 1-3,1,2.5,9.33
CHI 1-3,1,2.5,10.24
CHI 1-3,1,2.5,10.63
CHI 1-3,2,0,81.12
CHI 1-3,2,0,79.98
CHI 1-3,2,0,80.52
CHI 1-3,2,0.05,69.67
CHI 1-3,2,0.05,70.48
CHI 1-3,2,0.05,71.69
CHI 1-3,2,0.1,62.28
CHI 1-3,2,0.1,66.21
CHI 1-3,2,0.1,65.92
CHI 1-3,2,0.25,34.45
CHI 1-3,2,0.25,38.52
CHI 1-3,2,0.25,35.60
CHI 1-3,2,0.5,19.67
CHI 1-3,2,0.5,18.57
CHI 1-3,2,0.5,17.87
CHI 1-3,2,0.75,14.27
CHI 1-3,2,0.75,15.39
CHI 1-3,2,0.75,14.25
CHI 1-3,2,1,12.79
CHI 1-3,2,1,13.36
CHI 1-3,2,1,12.48
CHI 1-3,2,2.5,10.95
CHI 1-3,2,2.5,8.56
CHI 1-3,2,2.5,9.03
CHI 2-2,1,0,80.14
CHI 2-2,1,0,81.06
CHI 2-2,1,0,80.92
CHI 2-2,1,0.05,70.44
CHI 2-2,1,0.05,68.03
CHI 2-2,1,0.05,69.43
CHI 2-2,1,0.1,54.04
CHI 2-2,1,0.1,56.66
CHI 2-2,1,0.1,57.32
