ID,experimental_replicate,concentration,growth
1,1,0,84.00
1,1,0,84.00
1,1,0,84.00
2,1,0,84.00
2,1,0,84.00
2,1,0,84.00
3,1,0,70.51
3,1,0,70.72
3,1,0,71.09
4,1,0,84.00
4,1,0,84.00
4,1,0,84.00
5,1,0,62.51
5,1,0,61.23
5,1,0,59.59
6,1,0,84
6,1,0,84
6,1,0,84
7,1,0,84.00
7,1,0,84.00
7,1,0,84.00
8,1,0,84.00
8,1,0,84.00
8,1,0,84.00
9,1,0,84.00
9,1,0,84.00
9,1,0,84.00
10,1,0,84.00
10,1,0,84.00
10,1,0,84.00
11,1,0,74.11
11,1,0,72.66
11,1,0,74.70
12,1,0,84.00
12,1,0,84.00
12,1,0,84.00
13,1,0,84.00
13,1,0,84.00
13,1,0,84.00
14,1,0,84.00
14,1,0,84.00
14,1,0,84.00
15,1,0,73.07
15,1,0,72.01
15,1,0,72.19
16,1,0,70.95
16,1,0,70.51
16,1,0,73.79
17,1,0,69.50
17,1,0,67.38
17,1,0,70.25
18,1,0,76.25
18,1,0,72.21
18,1,0,73.30
19,1,0,68.68
19,1,0,68.78
19,1,0,68.59
20,1,0,76.29
20,1,0,74.55
20,1,0,73.74
21,1,0,75.06
21,1,0,74.94
21,1,0,76.08
22,1,0,71.89
22,1,0,70.43
22,1,0,70.69
23,1,0,71.89
23,1,0,70.43
23,1,0,70.69
24,1,0,76.06
24,1,0,73.14
24,1,0,73.22
25,1,0,76.71
25,1,0,76.47
25,1,0,76.30
26,1,0,63.74
26,1,0,67.78
26,1,0,65.76
27,1,0,84.00
27,1,0,84.00
27,1,0,84.00
28,1,0,84.00
28,1,0,84.00
28,1,0,84.00
29,1,0,60.93
29,1,0,61.04
29,1,0,60.99
30,1,0,84.00
30,1,0,84.00
30,1,0,84.00
31,1,0,84.00
31,1,0,84.00
31,1,0,84.00
32,1,0,84.00
32,1,0,84.00
32,1,0,84.00
33,1,0,55.39
33,1,0,54.77
33,1,0,55.59
34,1,0,66.95
34,1,0,64.97
34,1,0,61.82
35,1,0,84.00
35,1,0,84.00
35,1,0,84.00
1,1,0.005,84.00
1,1,0.005,84.00
1,1,0.005,84.00
2,1,0.005,84.00
2,1,0.005,84.00
2,1,0.005,84.00
3,1,0.005,70.41
3,1,0.005,69.8
3,1,0.005,69.675
4,1,0.005,84.00
4,1,0.005,84.00
4,1,0.005,84.00
5,1,0.005,59.44
5,1,0.005,58.57
5,1,0.005,58.33
6,1,0.005,84.00
6,1,0.005,84.00
6,1,0.005,84.00
7,1,0.005,84.00
7,1,0.005,84.00
7,1,0.005,84.00
8,1,0.005,84.00
8,1,0.005,84.00
8,1,0.005,84.00
