ID,experimental_replicate,concentration,growth
NAY 3-1,1,0,69.87
NAY 3-1,1,0,68.57
NAY 3-1,1,0,69.76
NAY 3-1,1,0.05,50.63
NAY 3-1,1,0.05,49.50
NAY 3-1,1,0.05,49.30
NAY 3-1,1,0.1,31.57
NAY 3-1,1,0.1,31.12
NAY 3-1,1,0.1,30.39
NAY 3-1,1,0.25,25.62
NAY 3-1,1,0.25,25.25
NAY 3-1,1,0.25,25.05
NAY 3-1,1,0.5,10.98
NAY 3-1,1,0.5,10.82
NAY 3-1,1,0.5,10.45
NAY 3-1,1,0.75,8.07
NAY 3-1,1,0.75,9.01
NAY 3-1,1,0.75,8.93
NAY 3-1,1,1,7.59
NAY 3-1,1,1,7.41
NAY 3-1,1,1,7.08
NAY 3-1,1,2.5,0.00
NAY 3-1,1,2.5,0.00
NAY 3-1,1,2.5,0.00
NAY 3-1,2,0,64.66
NAY 3-1,2,0,64.32
NAY 3-1,2,0,65.10
NAY 3-1,2,0.05,48.46
NAY 3-1,2,0.05,48.22
NAY 3-1,2,0.05,48.76
NAY 3-1,2,0.1,33.15
NAY 3-1,2,0.1,34.13
NAY 3-1,2,0.1,34.22
NAY 3-1,2,0.25,23.79
NAY 3-1,2,0.25,24.85
NAY 3-1,2,0.25,23.34
NAY 3-1,2,0.5,11.84
NAY 3-1,2,0.5,10.35
NAY 3-1,2,0.5,10.42
NAY 3-1,2,0.75,9.08
NAY 3-1,2,0.75,9.51
NAY 3-1,2,0.75,9.30
NAY 3-1,2,1,7.97
NAY 3-1,2,1,7.63
NAY 3-1,2,1,7.66
NAY 3-1,2,2.5,0.00
NAY 3-1,2,2.5,0.00
NAY 3-1,2,2.5,0.00
NAY 8-3,1,0,69.77
NAY 8-3,1,0,69.91
NAY 8-3,1,0,70.61
NAY 8-3,1,0.05,49.61
NAY 8-3,1,0.05,47.62
NAY 8-3,1,0.05,47.34
NAY 8-3,1,0.1,32.59
NAY 8-3,1,0.1,33.55
NAY 8-3,1,0.1,31.19
NAY 8-3,1,0.25,20.76
NAY 8-3,1,0.25,21.32
NAY 8-3,1,0.25,21.81
NAY 8-3,1,0.5,9.93
NAY 8-3,1,0.5,9.66
NAY 8-3,1,0.5,9.19
NAY 8-3,1,0.75,7.87
NAY 8-3,1,0.75,8.12
NAY 8-3,1,0.75,7.76
NAY 8-3,1,1,6.10
NAY 8-3,1,1,6.64
NAY 8-3,1,1,6.96
NAY 8-3,1,2.5,0.00
NAY 8-3,1,2.5,0.00
NAY 8-3,1,2.5,0.00
NAY 8-3,2,0,61.94
NAY 8-3,2,0,61.75
NAY 8-3,2,0,61.45
NAY 8-3,2,0.05,45.05
NAY 8-3,2,0.05,46.29
NAY 8-3,2,0.05,44.21
NAY 8-3,2,0.1,29.66
NAY 8-3,2,0.1,30.47
NAY 8-3,2,0.1,31.94
NAY 8-3,2,0.25,19.39
NAY 8-3,2,0.25,19.22
NAY 8-3,2,0.25,19.36
NAY 8-3,2,0.5,9.94
NAY 8-3,2,0.5,9.39
NAY 8-3,2,0.5,9.83
NAY 8-3,2,0.75,8.25
NAY 8-3,2,0.75,8.85
NAY 8-3,2,0.75,8.92
NAY 8-3,2,1,6.51
NAY 8-3,2,1,6.83
NAY 8-3,2,1,6.29
NAY 8-3,2,2.5,0.00
NAY 8-3,2,2.5,0.00
NAY 8-3,2,2.5,0.00
NAY 9-1,1,0,74.47
NAY 9-1,1,0,75.24
NAY 9-1,1,0,76.10
NAY 9-1,1,0.05,53.10
NAY 9-1,1,0.05,54.87
NAY 9-1,1,0.05,55.88
NAY 9-1,1,0.1,37.89
NAY 9-1,1,0.1,38.89
NAY 9-1,1,0.1,37.99
NAY 9-1,1,0.25,22.59
NAY 9-1,1,0.25,22.14
NAY 9-1,1,0.25,22.61
NAY 9-1,1,0.5,11.01
NAY 9-1,1,0.5,11.80
NAY 9-1,1,0.5,11.85
NAY 9-1,1,0.75,9.95
NAY 9-1,1,0.75,9.89
NAY 9-1,1,0.75,9.46
NAY 9-1,1,1,7.32
NAY 9-1,1,1,7.65
NAY 9-1,1,1,7.00
NAY 9-1,1,2.5,6.24
NAY 9-1,1,2.5,6.30
NAY 9-1,1,2.5,6.27
NAY 9-1,2,0,74.75
NAY 9-1,2,0,75.66
NAY 9-1,2,0,75.22
NAY 9-1,2,0.05,57.49
NAY 9-1,2,0.05,57.31
NAY 9-1,2,0.05,57.87
NAY 9-1,2,0.1,40.20
NAY 9-1,2,0.1,40.96
NAY 9-1,2,0.1,40.63
NAY 9-1,2,0.25,24.90
NAY 9-1,2,0.25,24.77
NAY 9-1,2,0.25,23.25
NAY 9-1,2,0.5,10.26
NAY 9-1,2,0.5,10.62
NAY 9-1,2,0.5,10.09
NAY 9-1,2,0.75,9.94
NAY 9-1,2,0.75,9.63
NAY 9-1,2,0.75,9.55
NAY 9-1,2,1,8.25
NAY 9-1,2,1,8.76
NAY 9-1,2,1,8.29
NAY 9-1,2,2.5,6.81
NAY 9-1,2,2.5,7.18
NAY 9-1,2,2.5,6.34
NAY 13-3,1,0,63.52
NAY 13-3,1,0,63.45
NAY 13-3,1,0,63.77
NAY 13-3,1,0.05,40.57
NAY 13-3,1,0.05,41.54
NAY 13-3,1,0.05,41.93
NAY 13-3,1,0.1,27.88
NAY 13-3,1,0.1,26.78
NAY 13-3,1,0.1,27.29
NAY 13-3,1,0.25,20.94
NAY 13-3,1,0.25,19.15
NAY 13-3,1,0.25,19.57
NAY 13-3,1,0.5,10.35
NAY 13-3,1,0.5,10.02
NAY 13-3,1,0.5,10.89
NAY 13-3,1,0.75,8.35
NAY 13-3,1,0.75,8.25
NAY 13-3,1,0.75,8.94
NAY 13-3,1,1,7.23
NAY 13-3,1,1,6.99
NAY 13-3,1,1,6.92
NAY 13-3,1,2.5,0.00
NAY 13-3,1,2.5,0.00
NAY 13-3,1,2.5,0.00
NAY 13-3,2,0,63.60
NAY 13-3,2,0,61.58
NAY 13-3,2,0,62.25
NAY 13-3,2,0.05,39.80
NAY 13-3,2,0.05,39.51
NAY 13-3,2,0.05,37.16
NAY 13-3,2,0.1,26.35
NAY 13-3,2,0.1,27.40
NAY 13-3,2,0.1,27.95
NAY 13-3,2,0.25,21.75
NAY 13-3,2,0.25,21.51
NAY 13-3,2,0.25,21.45
NAY 13-3,2,0.5,9.25
NAY 13-3,2,0.5,9.26
NAY 13-3,2,0.5,9.34
NAY 13-3,2,0.75,8.62
NAY 13-3,2,0.75,8.54
NAY 13-3,2,0.75,8.88
NAY 13-3,2,1,7.02
NAY 13-3,2,1,6.94
NAY 13-3,2,1,7.12
NAY 13-3,2,2.5,0.00
NAY 13-3,2,2.5,0.00
NAY 13-3,2,2.5,0.00
NAY 14-3,1,0,64.24
NAY 14-3,1,0,65.03
NAY 14-3,1,0,64.68
NAY 14-3,1,0.05,49.89
NAY 14-3,1,0.05,51.21
NAY 14-3,1,0.05,49.42
NAY 14-3,1,0.1,31.95
NAY 14-3,1,0.1,30.39
NAY 14-3,1,0.1,31.42
NAY 14-3,1,0.25,22.99
NAY 14-3,1,0.25,22.56
NAY 14-3,1,0.25,22.77
NAY 14-3,1,0.5,10.62
NAY 14-3,1,0.5,10.54
NAY 14-3,1,0.5,10.51
NAY 14-3,1,0.75,8.46
NAY 14-3,1,0.75,8.64
NAY 14-3,1,0.75,9.01
NAY 14-3,1,1,6.88
NAY 14-3,1,1,6.35
NAY 14-3,1,1,6.42
NAY 14-3,1,2.5,0.00
NAY 14-3,1,2.5,0.00
NAY 14-3,1,2.5,0.00
NAY 14-3,2,0,63.29
NAY 14-3,2,0,63.48
NAY 14-3,2,0,64.84
NAY 14-3,2,0.05,47.03
NAY 14-3,2,0.05,49.60
NAY 14-3,2,0.05,47.92
NAY 14-3,2,0.1,33.82
NAY 14-3,2,0.1,33.09
NAY 14-3,2,0.1,34.85
NAY 14-3,2,0.25,23.77
NAY 14-3,2,0.25,23.95
NAY 14-3,2,0.25,24.05
NAY 14-3,2,0.5,10.34
NAY 14-3,2,0.5,11.03
NAY 14-3,2,0.5,10.25
NAY 14-3,2,0.75,8.46
NAY 14-3,2,0.75,9.28
NAY 14-3,2,0.75,8.71
