ID,experimental_replicate,concentration,growth
7,1,0,80.66
7,1,0,83.26
7,1,0,80.67
20,1,0,80.21
20,1,0,78.16
20,1,0,79.1
26,1,0,79.25
26,1,0,81.06
26,1,0,79.02
27,1,0,71.19
27,1,0,72.39
27,1,0,74.88
40,1,0,76.71
40,1,0,79.94
40,1,0,80.06
42,1,0,77.37
42,1,0,79.22
42,1,0,77.95
43,1,0,80.13
43,1,0,71.98
43,1,0,73.42
44,1,0,73.21
44,1,0,75.2
44,1,0,73.08
7,2,0,79.18
7,2,0,81.82
7,2,0,80.33
20,2,0,74.27
20,2,0,72.73
20,2,0,76.1
26,2,0,82.82
26,2,0,82.39
26,2,0,82.68
27,2,0,75.93
27,2,0,73.21
27,2,0,74.75
40,2,0,58.93
40,2,0,57.71
40,2,0,58.02
42,2,0,80.74
42,2,0,79.94
42,2,0,81.08
43,2,0,79.51
43,2,0,79.66
43,2,0,80.76
44,2,0,55.17
44,2,0,57.44
44,2,0,57.94
7,1,0.01,64.04
7,1,0.01,63.79
7,1,0.01,63.56
20,1,0.01,65.71
20,1,0.01,64.9
20,1,0.01,65.41
26,1,0.01,80.92
26,1,0.01,80.09
26,1,0.01,81.61
27,1,0.01,45.37
27,1,0.01,45.54
27,1,0.01,45.3
40,1,0.01,64.82
40,1,0.01,62.66
40,1,0.01,64.69
42,1,0.01,57.82
42,1,0.01,57.25
42,1,0.01,58.35
43,1,0.01,56.82
43,1,0.01,56.91
43,1,0.01,55.88
44,1,0.01,56.22
44,1,0.01,55.83
44,1,0.01,55.95
7,2,0.01,66.75
7,2,0.01,66.1
7,2,0.01,67.31
20,2,0.01,78.35
20,2,0.01,80.13
20,2,0.01,78.18
26,2,0.01,70.67
26,2,0.01,70.1
26,2,0.01,71
27,2,0.01,69.05
27,2,0.01,69.19
27,2,0.01,69.51
40,2,0.01,62.93
40,2,0.01,62.04
40,2,0.01,64.7
42,2,0.01,69.06
42,2,0.01,70.76
42,2,0.01,69.63
43,2,0.01,65.79
43,2,0.01,65.18
43,2,0.01,66.37
44,2,0.01,55.76
44,2,0.01,55.8
44,2,0.01,56.03
7,1,0.05,60.73
7,1,0.05,59.37
7,1,0.05,60.5
20,1,0.05,55.85
20,1,0.05,56.84
20,1,0.05,56.16
26,1,0.05,73.32
26,1,0.05,73.33
26,1,0.05,74.63
27,1,0.05,42.89
27,1,0.05,43.66
27,1,0.05,42.38
40,1,0.05,59.32
40,1,0.05,59.56
40,1,0.05,59.86
42,1,0.05,55.88
42,1,0.05,54.3
42,1,0.05,54.47
43,1,0.05,55.68
43,1,0.05,54.5
43,1,0.05,54.54
44,1,0.05,44.85
44,1,0.05,44.74
44,1,0.05,44.19
7,2,0.05,62.23
7,2,0.05,59.28
7,2,0.05,61.53
20,2,0.05,71.02
20,2,0.05,71.38
20,2,0.05,71.19
26,2,0.05,73.05
26,2,0.05,72.85
26,2,0.05,74.89
27,2,0.05,45.77
27,2,0.05,46.81
27,2,0.05,46.4
40,2,0.05,47.7
40,2,0.05,46.16
40,2,0.05,46.72
42,2,0.05,64.5
42,2,0.05,64.42
42,2,0.05,64.66
43,2,0.05,54.97
43,2,0.05,54.09
43,2,0.05,54.88
44,2,0.05,48.45
44,2,0.05,48.32
44,2,0.05,48.73
7,1,0.1,56.44
7,1,0.1,56.18
7,1,0.1,54.57
20,1,0.1,52.11
20,1,0.1,52.46
20,1,0.1,51.33
26,1,0.1,72.34
26,1,0.1,71.69
26,1,0.1,72.18
27,1,0.1,41.14
27,1,0.1,41.17
27,1,0.1,40.92
40,1,0.1,56.19
40,1,0.1,57.36
40,1,0.1,57.32
42,1,0.1,49.86
42,1,0.1,49.69
42,1,0.1,50.99
43,1,0.1,49.05
43,1,0.1,49.71
43,1,0.1,50.63
44,1,0.1,41.95
44,1,0.1,41.22
44,1,0.1,41.74
7,2,0.1,56.56
7,2,0.1,57.88
7,2,0.1,57.05
20,2,0.1,57.62
20,2,0.1,56.08
20,2,0.1,57.58
26,2,0.1,69.55
26,2,0.1,69.33
26,2,0.1,69.65
27,2,0.1,45.75
27,2,0.1,43.17
27,2,0.1,45.45
40,2,0.1,44.76
40,2,0.1,44.81
40,2,0.1,45.17
42,2,0.1,59.1
42,2,0.1,60.17
42,2,0.1,60.78
43,2,0.1,44.17
43,2,0.1,45.5
43,2,0.1,46.97
44,2,0.1,43.47
44,2,0.1,44.8
44,2,0.1,44.44
7,1,0.5,47.99
7,1,0.5,47.66
7,1,0.5,47.9
20,1,0.5,40.89
20,1,0.5,41.77
20,1,0.5,40.14
26,1,0.5,69.95
26,1,0.5,69.96
26,1,0.5,69.03
27,1,0.5,38.04
27,1,0.5,38.43
27,1,0.5,39.21
40,1,0.5,53.13
40,1,0.5,53
40,1,0.5,53.02
42,1,0.5,46.12
42,1,0.5,46.68
42,1,0.5,47.28
43,1,0.5,44.98
43,1,0.5,44.11
43,1,0.5,45.26
44,1,0.5,35.43
44,1,0.5,36.71
44,1,0.5,36.11
7,2,0.5,49.07
7,2,0.5,48.67
7,2,0.5,49.13
20,2,0.5,39.1
20,2,0.5,39.36
20,2,0.5,39.43
26,2,0.5,59.16
26,2,0.5,59.13
26,2,0.5,58.09
27,2,0.5,39.85
27,2,0.5,39.95
27,2,0.5,40.79
40,2,0.5,42.69
40,2,0.5,43.2
40,2,0.5,43.21
42,2,0.5,57.19
42,2,0.5,57.07
42,2,0.5,56.63
43,2,0.5,37.78
43,2,0.5,36.13
43,2,0.5,37.17
44,2,0.5,39.19
44,2,0.5,38.96
44,2,0.5,39.81
7,1,1,40.99
7,1,1,41.65
7,1,1,41.55
20,1,1,38.17
20,1,1,38.99
20,1,1,38.97
26,1,1,65.73
26,1,1,64.74
26,1,1,65.18
27,1,1,32.43
27,1,1,33.74
27,1,1,32.58
40,1,1,48.22
40,1,1,49.93
40,1,1,48.87
42,1,1,42.66
42,1,1,42.54
42,1,1,43.73
43,1,1,41.97
43,1,1,41.31
43,1,1,41.36
44,1,1,32.8
44,1,1,31.77
44,1,1,30.49
7,2,1,44.37
7,2,1,45.61
7,2,1,45.38
20,2,1,37.22
20,2,1,37.69
20,2,1,37.19
26,2,1,57.2
26,2,1,56.84
26,2,1,56.98
27,2,1,38.84
27,2,1,36.71
27,2,1,38.81
40,2,1,40.38
40,2,1,41.03
40,2,1,40.99
42,2,1,44.36
42,2,1,44.74
42,2,1,43.73
43,2,1,32.87
43,2,1,32.51
43,2,1,30.71
44,2,1,34.46
44,2,1,33.03
44,2,1,31.68
7,1,5,27.93
7,1,5,27.04
7,1,5,27.94
20,1,5,36.66
20,1,5,36.61
20,1,5,35.87
26,1,5,61.62
26,1,5,61.67
26,1,5,60.88
27,1,5,31
27,1,5,31.01
27,1,5,31.38
40,1,5,43.54
40,1,5,44.86
40,1,5,43.8
42,1,5,33.41
42,1,5,34.99
42,1,5,34.26
43,1,5,31.96
43,1,5,31.64
43,1,5,31.39
44,1,5,24.5
44,1,5,25.29
44,1,5,24.89
7,2,5,30.92
7,2,5,32.28
7,2,5,31.81
20,2,5,33.14
20,2,5,33.51
20,2,5,32.8
26,2,5,53.34
26,2,5,53.75
26,2,5,53.1
27,2,5,36.77
27,2,5,36.72
27,2,5,35.57
40,2,5,38.59
40,2,5,39.9
40,2,5,39.56
42,2,5,42.15
42,2,5,41.09
42,2,5,42.8
43,2,5,23.89
43,2,5,23.66
43,2,5,23.11
44,2,5,30.72
44,2,5,29.7
44,2,5,30.25
7,1,10,23.18
7,1,10,23.88
7,1,10,23.16
20,1,10,34.76
20,1,10,33.82
20,1,10,34.6
26,1,10,58.74
26,1,10,59.01
26,1,10,58.2
27,1,10,29.73
27,1,10,29.46
27,1,10,29.91
40,1,10,37.73
40,1,10,36.84
40,1,10,36.23
42,1,10,30.18
42,1,10,29.71
42,1,10,30
43,1,10,25.99
43,1,10,26.08
43,1,10,25.08
44,1,10,21.98
44,1,10,21.47
44,1,10,21.18
7,2,10,28.87
7,2,10,29.88
7,2,10,28.52
20,2,10,29.87
20,2,10,29.25
20,2,10,29.65
26,2,10,50.02
26,2,10,49.76
26,2,10,50
27,2,10,25.45
27,2,10,26.4
27,2,10,25.92
40,2,10,29.5
40,2,10,29.15
40,2,10,30.03
42,2,10,31.75
42,2,10,31.73
42,2,10,32.79
43,2,10,19.88
43,2,10,21.36
43,2,10,22.27
44,2,10,23.73
44,2,10,23.87
44,2,10,22.65
