ID,experimental_replicate,concentration,growth,,
40,1,0,79.01,,
40,1,0,79.31,,
40,1,0,79.74,,
20,1,0,72.96,,
20,1,0,74.41,,
20,1,0,74.35,,
26,1,0,80.47,,
26,1,0,80.62,,
26,1,0,80.65,,
7,1,0,82.75,,
7,1,0,83.02,,
7,1,0,82.66,,
27,1,0,72.66,,
27,1,0,72.41,,
27,1,0,73.94,,
42,1,0,79.78,,
42,1,0,79.09,,
42,1,0,78.24,,
43,1,0,78.79,,
43,1,0,77.12,,
43,1,0,78.63,,
44,1,0,78.76,,
44,1,0,78.58,,
44,1,0,79.89,,
40,1,0.1,13.94,,
40,1,0.1,14.44,,
40,1,0.1,14.49,,
20,1,0.1,14.42,,
20,1,0.1,14.00,,
20,1,0.1,14.22,,
26,1,0.1,15.60,,
26,1,0.1,15.18,,
26,1,0.1,15.33,,
7,1,0.1,6.79,,
7,1,0.1,6.90,,
7,1,0.1,6.57,,
27,1,0.1,15.95,,
27,1,0.1,15.93,,
27,1,0.1,15.41,,
42,1,0.1,14.81,,
42,1,0.1,15.32,,
42,1,0.1,14.69,,
43,1,0.1,14.50,,
43,1,0.1,14.44,,
43,1,0.1,14.66,,
44,1,0.1,10.50,,
44,1,0.1,10.40,,
44,1,0.1,10.48,,
40,1,0.5,10.49,,
40,1,0.5,10.05,,
40,1,0.5,10.16,,
20,1,0.5,10.43,,
20,1,0.5,10.48,,
20,1,0.5,10.29,,
26,1,0.5,11.31,,
26,1,0.5,12.35,,
26,1,0.5,12.95,,
7,1,0.5,0.00,,
7,1,0.5,0.00,,
7,1,0.5,0.00,,
27,1,0.5,10.29,,
27,1,0.5,10.23,,
27,1,0.5,10.34,,
42,1,0.5,12.41,,
42,1,0.5,12.53,,
42,1,0.5,13.49,,
43,1,0.5,12.44,,
43,1,0.5,11.97,,
43,1,0.5,11.99,,
44,1,0.5,9.13,,
44,1,0.5,9.18,,
44,1,0.5,9.06,,
40,1,1,9.77,,
40,1,1,9.14,,
40,1,1,9.23,,
20,1,1,9.11,,
20,1,1,8.27,,
20,1,1,9.13,,
26,1,1,9.72,,
26,1,1,9.30,,
26,1,1,9.83,,
7,1,1,0.00,,
7,1,1,0.00,,
7,1,1,0.00,,
27,1,1,9.25,,
27,1,1,8.48,,
27,1,1,8.26,,
42,1,1,10.66,,
42,1,1,10.81,,
42,1,1,10.49,,
43,1,1,10.44,,
43,1,1,10.25,,
43,1,1,10.23,,
44,1,1,8.20,,
44,1,1,8.27,,
44,1,1,8.16,,
40,1,5,0.00,,
40,1,5,0.00,,
40,1,5,0.00,,
20,1,5,0.00,,
20,1,5,0.00,,
20,1,5,0.00,,
26,1,5,0.00,,
26,1,5,0.00,,
26,1,5,0.00,,
7,1,5,0.00,,
7,1,5,0.00,,
7,1,5,0.00,,
27,1,5,0.00,,
27,1,5,0.00,,
27,1,5,0.00,,
42,1,5,9.50,,
42,1,5,8.99,,
42,1,5,8.55,,
43,1,5,0.00,,
43,1,5,0.00,,
43,1,5,0.00,,
44,1,5,7.13,,
44,1,5,7.10,,
44,1,5,7.03,,
40,1,10,0.00,,
40,1,10,0.00,,
40,1,10,0.00,,
20,1,10,0.00,,
20,1,10,0.00,,
20,1,10,0.00,,
26,1,10,0.00,,
26,1,10,0.00,,
26,1,10,0.00,,
7,1,10,0.00,,
7,1,10,0.00,,
7,1,10,0.00,,
27,1,10,0.00,,
27,1,10,0.00,,
27,1,10,0.00,,
42,1,10,7.09,,
42,1,10,7.44,,
42,1,10,6.49,,
43,1,10,0.00,,
43,1,10,0.00,,
43,1,10,0.00,,
44,1,10,0.00,,
44,1,10,0.00,,
44,1,10,0.00,,
40,1,50,0.00,,
40,1,50,0.00,,
40,1,50,0.00,,
20,1,50,0.00,,
20,1,50,0.00,,
20,1,50,0.00,,
26,1,50,0.00,,
26,1,50,0.00,,
26,1,50,0.00,,
7,1,50,0.00,,
7,1,50,0.00,,
7,1,50,0.00,,
27,1,50,0.00,,
27,1,50,0.00,,
27,1,50,0.00,,
42,1,50,0.00,,
42,1,50,0.00,,
42,1,50,0.00,,
43,1,50,0.00,,
43,1,50,0.00,,
43,1,50,0.00,,
44,1,50,0.00,,
44,1,50,0.00,,
44,1,50,0.00,,
40,2,0,77.12,,
40,2,0,76.35,,
40,2,0,76.49,,
20,2,0,78.58,,
20,2,0,74.84,,
20,2,0,79.20,,
26,2,0,81.72,,
26,2,0,80.63,,
26,2,0,81.88,,
7,2,0,83.02,,
7,2,0,81.91,,
7,2,0,82.00,,
27,2,0,72.52,,
27,2,0,72.17,,
27,2,0,73.88,,
42,2,0,80.62,,
42,2,0,78.02,,
42,2,0,79.65,,
43,2,0,76.62,,
43,2,0,77.74,,
43,2,0,74.89,,
44,2,0,78.83,,
44,2,0,78.44,,
44,2,0,79.99,,
40,2,0.1,11.12,,
40,2,0.1,11.14,,
40,2,0.1,11.59,,
20,2,0.1,12.82,,
20,2,0.1,13.19,,
20,2,0.1,12.11,,
26,2,0.1,13.87,,
26,2,0.1,14.62,,
26,2,0.1,14.74,,
7,2,0.1,8.35,,
7,2,0.1,8.63,,
7,2,0.1,7.36,,
27,2,0.1,23.21,,
27,2,0.1,22.42,,
27,2,0.1,21.14,,
42,2,0.1,17.25,,
42,2,0.1,16.31,,
42,2,0.1,15.24,,
43,2,0.1,15.12,,
43,2,0.1,15.61,,
43,2,0.1,15.94,,
44,2,0.1,10.33,,
44,2,0.1,10.35,,
44,2,0.1,10.51,,
40,2,0.5,8.36,,
40,2,0.5,8.91,,
40,2,0.5,8.27,,
20,2,0.5,10.59,,
20,2,0.5,10.85,,
20,2,0.5,10.12,,
26,2,0.5,12.78,,
26,2,0.5,12.64,,
26,2,0.5,11.64,,
7,2,0.5,0.00,,
7,2,0.5,0.00,,
7,2,0.5,0.00,,
