ID,experimental_replicate,concentration,growth
CHI 2-2,1,0,71.53
CHI 2-2,1,0,71.93
CHI 2-2,1,0,72.01
CHI 2-2,1,0.05,64.31
CHI 2-2,1,0.05,63.83
CHI 2-2,1,0.05,63.06
CHI 2-2,1,0.1,60.16
CHI 2-2,1,0.1,59.29
CHI 2-2,1,0.1,59.85
CHI 2-2,1,0.5,57.39
CHI 2-2,1,0.5,58.36
CHI 2-2,1,0.5,57.25
CHI 2-2,1,1,52.27
CHI 2-2,1,1,54.05
CHI 2-2,1,1,53.50
CHI 2-2,1,5,48.29
CHI 2-2,1,5,49.05
CHI 2-2,1,5,48.18
CHI 2-2,1,10,39.91
CHI 2-2,1,10,39.61
CHI 2-2,1,10,39.12
CHI 2-2,1,50,35.95
CHI 2-2,1,50,36.03
CHI 2-2,1,50,35.67
CHI 2-2,2,0,75.14
CHI 2-2,2,0,74.29
CHI 2-2,2,0,74.56
CHI 2-2,2,0.05,67.12
CHI 2-2,2,0.05,67.66
CHI 2-2,2,0.05,66.03
CHI 2-2,2,0.1,62.49
CHI 2-2,2,0.1,63.74
CHI 2-2,2,0.1,63.91
CHI 2-2,2,0.5,59.67
CHI 2-2,2,0.5,58.68
CHI 2-2,2,0.5,58.62
CHI 2-2,2,1,56.25
CHI 2-2,2,1,55.02
CHI 2-2,2,1,55.36
CHI 2-2,2,5,50.80
CHI 2-2,2,5,50.13
CHI 2-2,2,5,51.72
CHI 2-2,2,10,42.70
CHI 2-2,2,10,43.47
CHI 2-2,2,10,43.73
CHI 2-2,2,50,39.26
CHI 2-2,2,50,39.11
CHI 2-2,2,50,38.83
CHI 7-5,1,0,73.19
CHI 7-5,1,0,74.25
CHI 7-5,1,0,73.36
CHI 7-5,1,0.05,72.97
CHI 7-5,1,0.05,72.08
CHI 7-5,1,0.05,71.65
CHI 7-5,1,0.1,69.92
CHI 7-5,1,0.1,68.65
CHI 7-5,1,0.1,67.19
CHI 7-5,1,0.5,58.33
CHI 7-5,1,0.5,58.73
CHI 7-5,1,0.5,57.20
CHI 7-5,1,1,54.10
CHI 7-5,1,1,53.52
CHI 7-5,1,1,53.09
CHI 7-5,1,5,51.39
CHI 7-5,1,5,50.36
CHI 7-5,1,5,50.71
CHI 7-5,1,10,48.83
CHI 7-5,1,10,47.27
CHI 7-5,1,10,48.30
CHI 7-5,1,50,45.29
CHI 7-5,1,50,45.46
CHI 7-5,1,50,44.12
CHI 7-5,2,0,73.98
CHI 7-5,2,0,72.65
CHI 7-5,2,0,71.44
CHI 7-5,2,0.05,68.65
CHI 7-5,2,0.05,69.25
CHI 7-5,2,0.05,69.11
CHI 7-5,2,0.1,67.28
CHI 7-5,2,0.1,67.79
CHI 7-5,2,0.1,66.18
CHI 7-5,2,0.5,56.45
CHI 7-5,2,0.5,57.23
CHI 7-5,2,0.5,56.64
CHI 7-5,2,1,53.43
CHI 7-5,2,1,55.12
CHI 7-5,2,1,54.22
CHI 7-5,2,5,50.75
CHI 7-5,2,5,49.42
CHI 7-5,2,5,49.92
CHI 7-5,2,10,46.42
CHI 7-5,2,10,45.39
CHI 7-5,2,10,45.19
CHI 7-5,2,50,42.75
CHI 7-5,2,50,43.08
CHI 7-5,2,50,42.10
CHI 8-2,1,0,80.90
CHI 8-2,1,0,80.46
CHI 8-2,1,0,81.52
CHI 8-2,1,0.05,58.09
CHI 8-2,1,0.05,59.01
CHI 8-2,1,0.05,58.46
CHI 8-2,1,0.1,54.31
CHI 8-2,1,0.1,53.87
CHI 8-2,1,0.1,52.81
CHI 8-2,1,0.5,39.44
CHI 8-2,1,0.5,39.94
CHI 8-2,1,0.5,39.83
CHI 8-2,1,1,30.85
CHI 8-2,1,1,31.60
CHI 8-2,1,1,31.48
CHI 8-2,1,5,27.85
CHI 8-2,1,5,27.42
CHI 8-2,1,5,26.54
CHI 8-2,1,10,24.08
CHI 8-2,1,10,23.09
CHI 8-2,1,10,24.34
CHI 8-2,1,50,21.55
CHI 8-2,1,50,21.04
CHI 8-2,1,50,20.17
CHI 8-2,2,0,78.60
CHI 8-2,2,0,79.13
CHI 8-2,2,0,79.31
CHI 8-2,2,0.05,61.63
CHI 8-2,2,0.05,60.41
CHI 8-2,2,0.05,62.55
CHI 8-2,2,0.1,58.53
CHI 8-2,2,0.1,57.44
