ID,experimental_replicate,concentration,growth
CHI 1-3,1,0,81.27
CHI 1-3,1,0,81.37
CHI 1-3,1,0,80.23
CHI 1-3,1,0.005,73.72
CHI 1-3,1,0.005,73.55
CHI 1-3,1,0.005,73.23
CHI 1-3,1,0.01,58.17
CHI 1-3,1,0.01,58.53
CHI 1-3,1,0.01,57.09
CHI 1-3,1,0.05,40.50
CHI 1-3,1,0.05,41.43
CHI 1-3,1,0.05,40.96
CHI 1-3,1,0.1,21.51
CHI 1-3,1,0.1,21.56
CHI 1-3,1,0.1,21.82
CHI 1-3,1,0.5,14.84
CHI 1-3,1,0.5,14.25
CHI 1-3,1,0.5,15.14
CHI 1-3,1,1,9.53
CHI 1-3,1,1,9.64
CHI 1-3,1,1,9.53
CHI 1-3,1,5,0.00
CHI 1-3,1,5,0.00
CHI 1-3,1,5,0.00
CHI 1-3,2,0,73.53
CHI 1-3,2,0,74.75
CHI 1-3,2,0,74.53
CHI 1-3,2,0.005,69.36
CHI 1-3,2,0.005,68.21
CHI 1-3,2,0.005,69.26
CHI 1-3,2,0.01,49.67
CHI 1-3,2,0.01,48.64
CHI 1-3,2,0.01,47.63
CHI 1-3,2,0.05,30.73
CHI 1-3,2,0.05,29.59
CHI 1-3,2,0.05,30.49
CHI 1-3,2,0.1,17.76
CHI 1-3,2,0.1,17.74
CHI 1-3,2,0.1,17.81
CHI 1-3,2,0.5,10.52
CHI 1-3,2,0.5,10.69
CHI 1-3,2,0.5,10.93
CHI 1-3,2,1,8.27
CHI 1-3,2,1,8.14
CHI 1-3,2,1,8.49
CHI 1-3,2,5,0.00
CHI 1-3,2,5,0.00
CHI 1-3,2,5,0.00
CHI 2-2,1,0,73.85
CHI 2-2,1,0,74.84
CHI 2-2,1,0,74.57
CHI 2-2,1,0.005,63.99
CHI 2-2,1,0.005,62.78
CHI 2-2,1,0.005,63.97
CHI 2-2,1,0.01,47.51
CHI 2-2,1,0.01,47.35
CHI 2-2,1,0.01,46.94
CHI 2-2,1,0.05,20.83
CHI 2-2,1,0.05,20.99
CHI 2-2,1,0.05,21.12
CHI 2-2,1,0.1,14.77
CHI 2-2,1,0.1,14.33
CHI 2-2,1,0.1,15.39
CHI 2-2,1,0.5,11.37
CHI 2-2,1,0.5,10.09
CHI 2-2,1,0.5,11.84
CHI 2-2,1,1,8.24
CHI 2-2,1,1,8.57
CHI 2-2,1,1,8.90
CHI 2-2,1,5,0.00
CHI 2-2,1,5,0.00
CHI 2-2,1,5,0.00
CHI 2-2,2,0,77.54
CHI 2-2,2,0,77.49
CHI 2-2,2,0,77.18
CHI 2-2,2,0.005,58.06
CHI 2-2,2,0.005,57.69
CHI 2-2,2,0.005,59.63
CHI 2-2,2,0.01,53.65
CHI 2-2,2,0.01,53.55
CHI 2-2,2,0.01,52.63
CHI 2-2,2,0.05,23.84
CHI 2-2,2,0.05,23.82
CHI 2-2,2,0.05,23.74
CHI 2-2,2,0.1,16.36
CHI 2-2,2,0.1,16.12
CHI 2-2,2,0.1,16.09
CHI 2-2,2,0.5,12.54
CHI 2-2,2,0.5,11.25
CHI 2-2,2,0.5,11.16
CHI 2-2,2,1,8.01
CHI 2-2,2,1,9.73
CHI 2-2,2,1,9.04
CHI 2-2,2,5,0.00
CHI 2-2,2,5,0.00
CHI 2-2,2,5,0.00
CHI 3-3,1,0,77.99
CHI 3-3,1,0,78.54
CHI 3-3,1,0,78.65
CHI 3-3,1,0.005,63.85
CHI 3-3,1,0.005,63.90
CHI 3-3,1,0.005,63.76
CHI 3-3,1,0.01,53.55
CHI 3-3,1,0.01,54.01
CHI 3-3,1,0.01,54.99
CHI 3-3,1,0.05,28.05
CHI 3-3,1,0.05,27.60
CHI 3-3,1,0.05,27.16
CHI 3-3,1,0.1,16.84
CHI 3-3,1,0.1,16.83
CHI 3-3,1,0.1,16.94
CHI 3-3,1,0.5,8.05
CHI 3-3,1,0.5,8.86
CHI 3-3,1,0.5,8.33
CHI 3-3,1,1,0.00
CHI 3-3,1,1,0.00
CHI 3-3,1,1,0.00
CHI 3-3,1,5,0.00
CHI 3-3,1,5,0.00
CHI 3-3,1,5,0.00
CHI 3-3,2,0,75.19
CHI 3-3,2,0,74.42
CHI 3-3,2,0,74.26
CHI 3-3,2,0.005,61.20
CHI 3-3,2,0.005,61.13
CHI 3-3,2,0.005,61.89
CHI 3-3,2,0.01,50.41
CHI 3-3,2,0.01,49.67
CHI 3-3,2,0.01,50.23
CHI 3-3,2,0.05,25.71
CHI 3-3,2,0.05,25.63
CHI 3-3,2,0.05,24.64
CHI 3-3,2,0.1,14.84
CHI 3-3,2,0.1,13.74
CHI 3-3,2,0.1,13.65
CHI 3-3,2,0.5,9.98
CHI 3-3,2,0.5,9.84
CHI 3-3,2,0.5,9.26
CHI 3-3,2,1,0.00
CHI 3-3,2,1,0.00
CHI 3-3,2,1,0.00
CHI 3-3,2,5,0.00
CHI 3-3,2,5,0.00
CHI 3-3,2,5,0.00
CHI 4-1,1,0,80.91
