ID,experimental_replicate,concentration,ecuatorial,polar
1,1,0, 84.00 , 84.00 
1,1,0, 84.00 , 84.00 
1,1,0, 84.00 , 84.00 
2,1,0, 84.00 , 84.00 
2,1,0, 84.00 , 84.00 
2,1,0, 84.00 , 84.00 
3,1,0, 84.00 , 84.00 
3,1,0, 84.00 , 84.00 
3,1,0, 84.00 , 84.00 
4,1,0, 84.00 , 84.00 
4,1,0, 84.00 , 84.00 
4,1,0, 84.00 , 84.00 
5,1,0, 84.00 , 84.00 
5,1,0, 84.00 , 84.00 
5,1,0, 84.00 , 84.00 
6,1,0, 84.00 , 84.00 
6,1,0, 84.00 , 84.00 
6,1,0, 84.00 , 84.00 
7,1,0, 84.00 , 84.00 
7,1,0, 84.00 , 84.00 
7,1,0, 84.00 , 84.00 
8,1,0, 84.00 , 84.00 
8,1,0, 84.00 , 84.00 
8,1,0, 84.00 , 84.00 
9,1,0, 84.00 , 84.00 
9,1,0, 84.00 , 84.00 
9,1,0, 84.00 , 84.00 
10,1,0, 84.00 , 84.00 
10,1,0, 84.00 , 84.00 
10,1,0, 84.00 , 84.00 
11,1,0, 84.00 , 84.00 
11,1,0, 84.00 , 84.00 
11,1,0, 84.00 , 84.00 
12,1,0, 84.00 , 84.00 
12,1,0, 84.00 , 84.00 
12,1,0, 84.00 , 84.00 
13,1,0, 84.00 , 84.00 
13,1,0, 84.00 , 84.00 
13,1,0, 84.00 , 84.00 
14,1,0, 84.00 , 84.00 
14,1,0, 84.00 , 84.00 
14,1,0, 84.00 , 84.00 
15,1,0, 84.00 , 84.00 
15,1,0, 84.00 , 84.00 
15,1,0, 84.00 , 84.00 
16,1,0, 84.00 , 84.00 
16,1,0, 84.00 , 84.00 
16,1,0, 84.00 , 84.00 
17,1,0, 84.00 , 84.00 
17,1,0, 84.00 , 84.00 
17,1,0, 84.00 , 84.00 
18,1,0, 84.00 , 84.00 
18,1,0, 84.00 , 84.00 
18,1,0, 84.00 , 84.00 
19,1,0, 84.00 , 84.00 
19,1,0, 84.00 , 84.00 
19,1,0, 84.00 , 84.00 
20,1,0, 84.00 , 84.00 
20,1,0, 84.00 , 84.00 
20,1,0, 84.00 , 84.00 
21,1,0, 84.00 , 84.00 
21,1,0, 84.00 , 84.00 
21,1,0, 84.00 , 84.00 
22,1,0, 84.00 , 84.00 
22,1,0, 84.00 , 84.00 
22,1,0, 84.00 , 84.00 
23,1,0, 84.00 , 84.00 
23,1,0, 84.00 , 84.00 
23,1,0, 84.00 , 84.00 
24,1,0, 84.00 , 84.00 
24,1,0, 84.00 , 84.00 
24,1,0, 84.00 , 84.00 
25,1,0, 84.00 , 84.00 
25,1,0, 84.00 , 84.00 
25,1,0, 84.00 , 84.00 
26,1,0, 68.47 , 68.47 
26,1,0, 64.23 , 64.23 
26,1,0, 75.13 , 75.13 
27,1,0, 84.00 , 84.00 
27,1,0, 84.00 , 84.00 
27,1,0, 84.00 , 84.00 
28,1,0, 84.00 , 84.00 
28,1,0, 84.00 , 84.00 
28,1,0, 84.00 , 84.00 
29,1,0, 84.00 , 84.00 
29,1,0, 84.00 , 84.00 
29,1,0, 84.00 , 84.00 
30,1,0, 84.00 , 84.00 
30,1,0, 84.00 , 84.00 
30,1,0, 84.00 , 84.00 
31,1,0, 84.00 , 84.00 
31,1,0, 84.00 , 84.00 
31,1,0, 84.00 , 84.00 
32,1,0, 84.00 , 84.00 
32,1,0, 84.00 , 84.00 
32,1,0, 84.00 , 84.00 
33,1,0, 84.00 , 84.00 
33,1,0, 84.00 , 84.00 
33,1,0, 83.10 , 83.10 
34,1,0, 84.00 , 84.00 
34,1,0, 84.00 , 84.00 
34,1,0, 84.00 , 84.00 
35,1,0, 84.00 , 84.00 
35,1,0, 84.00 , 84.00 
35,1,0, 84.00 , 84.00 
36,1,0, 81.58 , 81.58 
36,1,0, 84.00 , 84.00 
36,1,0, 84.00 , 84.00 
37,1,0, 84.00 , 84.00 
37,1,0, 84.00 , 84.00 
37,1,0, 84.00 , 84.00 
38,1,0, 68.10 , 68.10 
38,1,0, 77.36 , 77.36 
38,1,0, 84.00 , 84.00 
39,1,0, 84.00 , 84.00 
39,1,0, 84.00 , 84.00 
39,1,0, 84.00 , 84.00 
40,1,0, 84.00 , 84.00 
40,1,0, 84.00 , 84.00 
40,1,0, 84.00 , 84.00 
41,1,0, 84.00 , 84.00 
41,1,0, 84.00 , 84.00 
41,1,0, 84.00 , 84.00 
42,1,0, 84.00 , 84.00 
42,1,0, 84.00 , 84.00 
42,1,0, 84.00 , 84.00 
43,1,0, 84.00 , 84.00 
43,1,0, 84.00 , 84.00 
43,1,0, 84.00 , 84.00 
44,1,0, 84.00 , 84.00 
44,1,0, 84.00 , 84.00 
44,1,0, 84.00 , 84.00 
45,1,0, 84.00 , 84.00 
45,1,0, 84.00 , 84.00 
45,1,0, 84.00 , 84.00 
46,1,0, 84.00 , 84.00 
46,1,0, 84.00 , 84.00 
46,1,0, 84.00 , 84.00 
47,1,0, 84.00 , 84.00 
47,1,0, 84.00 , 84.00 
47,1,0, 84.00 , 84.00 
48,1,0, 84.00 , 84.00 
48,1,0, 84.00 , 84.00 
48,1,0, 84.00 , 84.00 
49,1,0, 82.38 , 82.38 
49,1,0, 79.81 , 79.81 
49,1,0, 81.73 , 76.73 
50,1,0, 84.00 , 84.00 
50,1,0, 84.00 , 84.00 
50,1,0, 84.00 , 84.00 
1,1,0.001, 84.00 , 84.00 
1,1,0.001, 84.00 , 84.00 
1,1,0.001, 84.00 , 84.00 
2,1,0.001, 81.00 , 78.00 
2,1,0.001, 84.00 , 84.00 
2,1,0.001, 84.00 , 84.00 
3,1,0.001, 84.00 , 84.00 
3,1,0.001, 84.00 , 84.00 
3,1,0.001, 84.00 , 84.00 
4,1,0.001, 84.00 , 84.00 
4,1,0.001, 84.00 , 84.00 
4,1,0.001, 81.60 , 79.20 
5,1,0.001, 84.00 , 30.96 
5,1,0.001, 84.00 , 36.87 
5,1,0.001, 84.00 , 38.02 
6,1,0.001, 80.71 , 79.86 
6,1,0.001, 84.00 , 84.00 
6,1,0.001, 84.00 , 84.00 
7,1,0.001, 82.12 , 80.23 
7,1,0.001, 82.32 , 80.64 
7,1,0.001, 82.93 , 81.86 
8,1,0.001, 84.00 , 84.00 
8,1,0.001, 84.00 , 84.00 
8,1,0.001, 84.00 , 84.00 
9,1,0.001, 84.00 , 84.00 
9,1,0.001, 84.00 , 84.00 
9,1,0.001, 84.00 , 84.00 
10,1,0.001, 84.00 , 84.00 
10,1,0.001, 84.00 , 84.00 
10,1,0.001, 84.00 , 84.00 
11,1,0.001, 84.00 , 84.00 
11,1,0.001, 84.00 , 84.00 
11,1,0.001, 84.00 , 84.00 
12,1,0.001, 84.00 , 84.00 
12,1,0.001, 84.00 , 84.00 
12,1,0.001, 84.00 , 84.00 
13,1,0.001, 84.00 , 84.00 
13,1,0.001, 84.00 , 84.00 
13,1,0.001, 84.00 , 84.00 
14,1,0.001, 84.00 , 84.00 
14,1,0.001, 84.00 , 84.00 
14,1,0.001, 84.00 , 84.00 
15,1,0.001, 84.00 , 84.00 
15,1,0.001, 84.00 , 84.00 
15,1,0.001, 84.00 , 84.00 
16,1,0.001, 84.00 , 84.00 
16,1,0.001, 84.00 , 84.00 
16,1,0.001, 84.00 , 84.00 
17,1,0.001, 84.00 , 84.00 
17,1,0.001, 84.00 , 84.00 
17,1,0.001, 84.00 , 84.00 
18,1,0.001, 84.00 , 84.00 
18,1,0.001, 83.22 , 82.44 
18,1,0.001, 80.83 , 77.66 
19,1,0.001, 82.86 , 82.72 
19,1,0.001, 82.25 , 82.49 
19,1,0.001, 84.00 , 84.00 
20,1,0.001, 84.00 , 84.00 
20,1,0.001, 84.00 , 84.00 
20,1,0.001, 84.00 , 84.00 
21,1,0.001, 84.00 , 84.00 
21,1,0.001, 84.00 , 84.00 
21,1,0.001, 84.00 , 84.00 
22,1,0.001, 84.00 , 84.00 
22,1,0.001, 84.00 , 84.00 
22,1,0.001, 84.00 , 84.00 
23,1,0.001, 78.75 , 79.50 
23,1,0.001, 80.76 , 77.52 
23,1,0.001, 82.97 , 81.94 
24,1,0.001, 84.00 , 84.00 
24,1,0.001, 84.00 , 84.00 
24,1,0.001, 84.00 , 84.00 
25,1,0.001, 84.00 , 84.00 
25,1,0.001, 84.00 , 84.00 
25,1,0.001, 84.00 , 84.00 
26,1,0.001, 67.52 , 65.22 
26,1,0.001, 58.64 , 58.43 
26,1,0.001, 69.64 , 62.43 
27,1,0.001, 81.55 , 81.28 
27,1,0.001, 80.77 , 79.37 
27,1,0.001, 84.00 , 84.00 
28,1,0.001, 80.51 , 84.00 
28,1,0.001, 84.00 , 84.00 
28,1,0.001, 84.00 , 84.00 
29,1,0.001, 84.00 , 84.00 
29,1,0.001, 84.00 , 84.00 
29,1,0.001, 84.00 , 84.00 
30,1,0.001, 84.00 , 84.00 
30,1,0.001, 84.00 , 84.00 
30,1,0.001, 84.00 , 84.00 
31,1,0.001, 84.00 , 84.00 
31,1,0.001, 80.93 , 77.85 
31,1,0.001, 84.00 , 84.00 
32,1,0.001, 84.00 , 84.00 
32,1,0.001, 84.00 , 84.00 
32,1,0.001, 84.00 , 84.00 
33,1,0.001, 80.45 , 76.90 
33,1,0.001, 84.00 , 84.00 
33,1,0.001, 78.69 , 78.72 
34,1,0.001, 81.47 , 78.94 
34,1,0.001, 83.13 , 82.26 
