ID,experimental_replicate,concentration,  ecuatorial  , polar 
1,1,0, 84.00 , 84.00 
1,1,0, 84.00 , 84.00 
1,1,0, 84.00 , 84.00 
2,1,0, 84.00 , 84.00 
2,1,0, 84.00 , 84.00 
2,1,0, 84.00 , 84.00 
3,1,0, 84.00 , 84.00 
3,1,0, 84.00 , 84.00 
3,1,0, 84.00 , 84.00 
4,1,0, 84.00 , 84.00 
4,1,0, 84.00 , 84.00 
4,1,0, 84.00 , 84.00 
5,1,0, 84.00 , 84.00 
5,1,0, 84.00 , 84.00 
5,1,0, 84.00 , 84.00 
6,1,0, 84.00 , 84.00 
6,1,0, 84.00 , 84.00 
6,1,0, 84.00 , 84.00 
7,1,0, 84.00 , 84.00 
7,1,0, 84.00 , 84.00 
7,1,0, 84.00 , 84.00 
8,1,0, 84.00 , 84.00 
8,1,0, 84.00 , 84.00 
8,1,0, 84.00 , 84.00 
9,1,0, 84.00 , 84.00 
9,1,0, 84.00 , 84.00 
9,1,0, 84.00 , 84.00 
10,1,0, 84.00 , 84.00 
10,1,0, 84.00 , 84.00 
10,1,0, 84.00 , 84.00 
11,1,0, 84.00 , 84.00 
11,1,0, 84.00 , 84.00 
11,1,0, 84.00 , 84.00 
12,1,0, 84.00 , 84.00 
12,1,0, 84.00 , 84.00 
12,1,0, 84.00 , 84.00 
13,1,0, 84.00 , 84.00 
13,1,0, 84.00 , 84.00 
13,1,0, 84.00 , 84.00 
14,1,0, 84.00 , 84.00 
14,1,0, 84.00 , 84.00 
14,1,0, 84.00 , 84.00 
15,1,0, 84.00 , 84.00 
15,1,0, 84.00 , 84.00 
15,1,0, 84.00 , 84.00 
16,1,0, 84.00 , 84.00 
16,1,0, 84.00 , 84.00 
16,1,0, 84.00 , 84.00 
17,1,0, 84.00 , 84.00 
17,1,0, 84.00 , 84.00 
17,1,0, 84.00 , 84.00 
18,1,0, 84.00 , 84.00 
18,1,0, 84.00 , 84.00 
18,1,0, 84.00 , 84.00 
19,1,0, 84.00 , 84.00 
19,1,0, 84.00 , 84.00 
19,1,0, 84.00 , 84.00 
20,1,0, 84.00 , 84.00 
20,1,0, 84.00 , 84.00 
20,1,0, 84.00 , 84.00 
21,1,0, 84.00 , 84.00 
21,1,0, 84.00 , 84.00 
21,1,0, 84.00 , 84.00 
22,1,0, 84.00 , 84.00 
22,1,0, 84.00 , 84.00 
22,1,0, 84.00 , 84.00 
23,1,0, 84.00 , 84.00 
23,1,0, 84.00 , 84.00 
23,1,0, 84.00 , 84.00 
24,1,0, 84.00 , 84.00 
24,1,0, 84.00 , 84.00 
24,1,0, 84.00 , 84.00 
25,1,0, 84.00 , 84.00 
25,1,0, 84.00 , 84.00 
25,1,0, 84.00 , 84.00 
26,1,0, 84.00 , 84.00 
26,1,0, 84.00 , 84.00 
26,1,0, 84.00 , 84.00 
27,1,0, 75.73 , 74.82 
27,1,0, 70.82 , 72.78 
27,1,0, 71.83 , 72.83 
28,1,0, 84.00 , 84.00 
28,1,0, 84.00 , 84.00 
28,1,0, 84.00 , 84.00 
29,1,0, 84.00 , 84.00 
29,1,0, 84.00 , 84.00 
29,1,0, 84.00 , 84.00 
30,1,0, 84.00 , 84.00 
30,1,0, 84.00 , 84.00 
30,1,0, 84.00 , 84.00 
31,1,0, 55.82 , 55.92 
31,1,0, 54.83 , 54.82 
31,1,0, 42.93 , 42.72 
32,1,0, 84.00 , 84.00 
32,1,0, 84.00 , 84.00 
32,1,0, 84.00 , 84.00 
33,1,0, 84.00 , 84.00 
33,1,0, 84.00 , 84.00 
33,1,0, 84.00 , 84.00 
34,1,0, 84.00 , 84.00 
34,1,0, 84.00 , 84.00 
34,1,0, 84.00 , 84.00 
35,1,0, 72.73 , 72.73 
35,1,0, 71.72 , 71.93 
35,1,0, 70.82 , 75.83 
36,1,0, 84.00 , 84.00 
36,1,0, 84.00 , 84.00 
36,1,0, 84.00 , 84.00 
37,1,0, 84.00 , 84.00 
37,1,0, 84.00 , 84.00 
37,1,0, 84.00 , 84.00 
38,1,0, 84.00 , 84.00 
38,1,0, 84.00 , 84.00 
38,1,0, 84.00 , 84.00 
39,1,0, 84.00 , 84.00 
39,1,0, 84.00 , 84.00 
39,1,0, 84.00 , 84.00 
40,1,0, 84.00 , 84.00 
40,1,0, 84.00 , 84.00 
40,1,0, 84.00 , 84.00 
41,1,0, 62.84 , 62.83 
41,1,0, 66.83 , 67.83 
41,1,0, 65.82 , 65.82 
42,1,0, 55.83 , 55.93 
42,1,0, 53.83 , 53.83 
42,1,0, 52.83 , 52.73 
43,1,0, 84.00 , 84.00 
43,1,0, 84.00 , 84.00 
43,1,0, 84.00 , 84.00 
44,1,0, 84.00 , 84.00 
44,1,0, 84.00 , 84.00 
44,1,0, 84.00 , 84.00 
45,1,0, 84.00 , 84.00 
45,1,0, 84.00 , 84.00 
45,1,0, 84.00 , 84.00 
46,1,0, 84.00 , 84.00 
46,1,0, 84.00 , 84.00 
46,1,0, 84.00 , 84.00 
47,1,0, 84.00 , 84.00 
47,1,0, 84.00 , 84.00 
47,1,0, 84.00 , 84.00 
48,1,0, 84.00 , 84.00 
48,1,0, 84.00 , 84.00 
48,1,0, 84.00 , 84.00 
49,1,0, 84.00 , 84.00 
49,1,0, 84.00 , 84.00 
49,1,0, 84.00 , 84.00 
50,1,0, 84.00 , 84.00 
50,1,0, 84.00 , 84.00 
50,1,0, 84.00 , 84.00 
1,1,0.001, 84.00 , 84.00 
1,1,0.001, 84.00 , 84.00 
1,1,0.001, 84.00 , 84.00 
2,1,0.001, 84.00 , 84.00 
2,1,0.001, 84.00 , 84.00 
2,1,0.001, 84.00 , 84.00 
3,1,0.001, 84.00 , 84.00 
3,1,0.001, 84.00 , 84.00 
3,1,0.001, 84.00 , 84.00 
4,1,0.001, 84.00 , 84.00 
4,1,0.001, 84.00 , 84.00 
4,1,0.001, 84.00 , 84.00 
5,1,0.001, 78.72 , 84.00 
5,1,0.001, 84.00 , 81.39 
5,1,0.001, 84.00 , 82.40 
6,1,0.001, 84.00 , 84.00 
6,1,0.001, 84.00 , 84.00 
6,1,0.001, 84.00 , 84.00 
7,1,0.001, 84.00 , 84.00 
7,1,0.001, 84.00 , 84.00 
7,1,0.001, 80.00 , 84.00 
8,1,0.001, 84.00 , 84.00 
8,1,0.001, 84.00 , 84.00 
8,1,0.001, 84.00 , 84.00 
9,1,0.001, 84.00 , 84.00 
9,1,0.001, 84.00 , 84.00 
9,1,0.001, 84.00 , 84.00 
10,1,0.001, 84.00 , 84.00 
10,1,0.001, 84.00 , 84.00 
10,1,0.001, 84.00 , 84.00 
11,1,0.001, 84.00 , 84.00 
11,1,0.001, 84.00 , 84.00 
11,1,0.001, 84.00 , 84.00 
12,1,0.001, 84.00 , 84.00 
12,1,0.001, 84.00 , 84.00 
12,1,0.001, 84.00 , 84.00 
13,1,0.001, 84.00 , 84.00 
13,1,0.001, 84.00 , 84.00 
13,1,0.001, 84.00 , 84.00 
14,1,0.001, 84.00 , 84.00 
14,1,0.001, 84.00 , 84.00 
14,1,0.001, 84.00 , 84.00 
15,1,0.001, 84.00 , 84.00 
15,1,0.001, 84.00 , 84.00 
15,1,0.001, 84.00 , 84.00 
16,1,0.001, 84.00 , 84.00 
16,1,0.001, 84.00 , 84.00 
16,1,0.001, 84.00 , 84.00 
17,1,0.001, 84.00 , 84.00 
17,1,0.001, 84.00 , 84.00 
17,1,0.001, 84.00 , 84.00 
18,1,0.001, 84.00 , 84.00 
18,1,0.001, 84.00 , 84.00 
18,1,0.001, 84.00 , 84.00 
19,1,0.001, 84.00 , 84.00 
19,1,0.001, 84.00 , 84.00 
19,1,0.001, 84.00 , 84.00 
20,1,0.001, 84.00 , 84.00 
20,1,0.001, 84.00 , 84.00 
20,1,0.001, 84.00 , 84.00 
21,1,0.001, 84.00 , 84.00 
21,1,0.001, 84.00 , 84.00 
21,1,0.001, 84.00 , 84.00 
22,1,0.001, 84.00 , 84.00 
22,1,0.001, 84.00 , 84.00 
22,1,0.001, 84.00 , 84.00 
23,1,0.001, 84.00 , 84.00 
23,1,0.001, 84.00 , 84.00 
23,1,0.001, 84.00 , 84.00 
24,1,0.001, 84.00 , 84.00 
24,1,0.001, 78.72 , 85.82 
24,1,0.001, 84.00 , 84.00 
25,1,0.001, 84.00 , 84.00 
25,1,0.001, 84.00 , 84.00 
25,1,0.001, 84.00 , 84.00 
26,1,0.001, 84.00 , 84.00 
26,1,0.001, 84.00 , 84.00 
26,1,0.001, 84.00 , 84.00 
27,1,0.001, 70.73 , 70.72 
27,1,0.001, 70.82 , 70.82 
27,1,0.001, 65.72 , 65.29 
28,1,0.001, 84.00 , 84.00 
28,1,0.001, 84.00 , 84.00 
28,1,0.001, 84.00 , 84.00 
29,1,0.001, 84.00 , 84.00 
29,1,0.001, 84.00 , 82.00 
29,1,0.001, 84.00 , 82.83 
30,1,0.001, 75.82 , 84.00 
30,1,0.001, 75.82 , 73.81 
30,1,0.001, 75.82 , 75.73 
31,1,0.001, 52.83 , 50.82 
31,1,0.001, 50.82 , 45.82 
31,1,0.001, 40.22 , 40.83 
32,1,0.001, 75.82 , 75.82 
32,1,0.001, 75.82 , 70.82 
32,1,0.001, 84.00 , 84.00 
33,1,0.001, 84.00 , 84.00 
33,1,0.001, 84.00 , 84.00 
33,1,0.001, 84.00 , 84.00 
34,1,0.001, 84.00 , 84.00 
34,1,0.001, 84.00 , 84.00 
