ID,experimental_replicate,concentration,ecuatorial,polar
2,1,0,84,84
2,1,0,84,84
2,1,0,84,84
6,1,0,84,84
6,1,0,84,84
6,1,0,84,84
16,1,0,84,84
16,1,0,84,84
16,1,0,84,84
17,1,0,84,84
17,1,0,84,84
17,1,0,84,84
19,1,0,84,84
19,1,0,84,84
19,1,0,84,84
21,1,0,84,84
21,1,0,84,84
21,1,0,84,84
22,1,0,84,84
22,1,0,84,84
22,1,0,84,84
23,1,0,84,84
23,1,0,84,84
23,1,0,84,84
26,1,0,84,84
26,1,0,84,84
26,1,0,84,84
27,1,0,84,84
27,1,0,84,84
27,1,0,84,84
29,1,0,84,84
29,1,0,84,84
29,1,0,84,84
30,1,0,84,84
30,1,0,84,84
30,1,0,84,84
32,1,0,84,84
32,1,0,84,84
32,1,0,84,84
36,1,0,84,84
36,1,0,84,84
36,1,0,84,84
37,1,0,84,84
37,1,0,84,84
37,1,0,84,84
39,1,0,84,84
39,1,0,84,84
39,1,0,84,84
40,1,0,84,84
40,1,0,84,84
40,1,0,84,84
45,1,0,84,84
45,1,0,84,84
45,1,0,84,84
46,1,0,84,84
46,1,0,84,84
46,1,0,84,84
47,1,0,84,84
47,1,0,84,84
47,1,0,84,84
49,1,0,84,84
49,1,0,84,84
49,1,0,84,84
2,1,1,84,84
2,1,1,84,84
2,1,1,84,84
6,1,1,84,84
6,1,1,84,84
6,1,1,84,84
16,1,1,84,84
16,1,1,84,84
16,1,1,84,84
17,1,1,84,84
17,1,1,84,84
17,1,1,84,84
19,1,1,84,84
19,1,1,84,84
19,1,1,84,84
21,1,1,84,84
21,1,1,84,84
21,1,1,84,84
22,1,1,84,84
22,1,1,84,84
22,1,1,84,84
23,1,1,84,84
23,1,1,84,84
23,1,1,84,84
26,1,1,84,84
26,1,1,84,84
26,1,1,84,84
27,1,1,84,84
27,1,1,84,84
27,1,1,84,84
29,1,1,84,84
29,1,1,84,84
29,1,1,84,84
30,1,1,84,84
30,1,1,84,84
30,1,1,84,84
32,1,1,84,84
32,1,1,84,84
32,1,1,84,84
36,1,1,84,84
36,1,1,84,84
36,1,1,84,84
37,1,1,84,84
37,1,1,84,84
37,1,1,84,84
39,1,1,84,84
39,1,1,84,84
39,1,1,84,84
40,1,1,84,84
40,1,1,84,84
40,1,1,84,84
45,1,1,84,84
45,1,1,84,84
45,1,1,84,84
46,1,1,84,84
46,1,1,84,84
46,1,1,84,84
47,1,1,84,84
47,1,1,84,84
47,1,1,84,84
49,1,1,84,84
49,1,1,84,84
49,1,1,84,84
2,1,5,84,84
2,1,5,84,84
2,1,5,84,84
