ID,experimental_replicate,concentration, ecuatorial ,polar
1,1,0,84,84
1,1,0,84,84
1,1,0,84,84
2,1,0,84,84
2,1,0,84,84
2,1,0,84,84
3,1,0,84,84
3,1,0,84,84
3,1,0,84,84
4,1,0,84,84
4,1,0,84,84
4,1,0,84,84
5,1,0,84,84
5,1,0,84,84
5,1,0,84,84
6,1,0,84,84
6,1,0,84,84
6,1,0,84,84
7,1,0,84,84
7,1,0,84,84
7,1,0,84,84
8,1,0,84,84
8,1,0,84,84
8,1,0,84,84
9,1,0,84,84
9,1,0,84,84
9,1,0,84,84
10,1,0,84,84
10,1,0,84,84
10,1,0,84,84
11,1,0,84,84
11,1,0,84,84
11,1,0,84,84
12,1,0,84,84
12,1,0,84,84
12,1,0,84,84
13,1,0,84,84
13,1,0,84,84
13,1,0,84,84
14,1,0,84,84
14,1,0,84,84
14,1,0,84,84
15,1,0,84,84
15,1,0,84,84
15,1,0,84,84
16,1,0,84,84
16,1,0,84,84
16,1,0,84,84
17,1,0,84,84
17,1,0,84,84
17,1,0,84,84
18,1,0,84,84
18,1,0,84,84
18,1,0,84,84
19,1,0,84,84
19,1,0,84,84
19,1,0,84,84
20,1,0,84,84
20,1,0,84,84
20,1,0,84,84
21,1,0,84,84
21,1,0,84,84
21,1,0,84,84
22,1,0,84,84
22,1,0,84,84
22,1,0,84,84
23,1,0,84,84
23,1,0,84,84
23,1,0,84,84
24,1,0,84,84
24,1,0,84,84
24,1,0,84,84
25,1,0,84,84
25,1,0,84,84
25,1,0,84,84
26,1,0,84,84
26,1,0,84,84
26,1,0,84,84
27,1,0,84,84
27,1,0,84,84
27,1,0,84,84
28,1,0,84,84
28,1,0,84,84
28,1,0,84,84
29,1,0,84,84
29,1,0,84,84
29,1,0,84,84
30,1,0,84,84
30,1,0,84,84
30,1,0,84,84
31,1,0,84,84
31,1,0,84,84
31,1,0,84,84
32,1,0,84,84
32,1,0,84,84
32,1,0,84,84
33,1,0,84,84
33,1,0,84,84
33,1,0,84,84
34,1,0,84,84
34,1,0,84,84
34,1,0,84,84
35,1,0,68.94,84
35,1,0,70.11,84
35,1,0,74.98,84
36,1,0,84,84
36,1,0,84,84
36,1,0,84,84
37,1,0,84,84
37,1,0,84,84
37,1,0,84,84
38,1,0,84,84
38,1,0,84,84
38,1,0,84,84
39,1,0,84,84
39,1,0,84,84
39,1,0,84,84
40,1,0,84,84
40,1,0,84,84
40,1,0,84,84
41,1,0,43.41,46.17
41,1,0,46.55,47.47
41,1,0,44.4,46.37
42,1,0,64.63,64.63
42,1,0,71.38,70.24
42,1,0,66.04,67.93
43,1,0,84,84
43,1,0,84,84
43,1,0,84,84
44,1,0,84,84
44,1,0,84,84
44,1,0,84,84
45,1,0,84,84
45,1,0,84,84
45,1,0,84,84
46,1,0,84,84
46,1,0,84,84
46,1,0,84,84
47,1,0,84,84
47,1,0,84,84
47,1,0,84,84
48,1,0,84,84
48,1,0,84,84
48,1,0,84,84
49,1,0,84,84
49,1,0,84,84
49,1,0,84,84
50,1,0,76.74,84
50,1,0,80,80.08
50,1,0,84,84
1,1,1,84,84
1,1,1,84,84
1,1,1,84,84
2,1,1,84,84
2,1,1,84,84
2,1,1,84,84
3,1,1,84,84
3,1,1,84,84
3,1,1,84,84
4,1,1,84,84
4,1,1,84,84
4,1,1,84,84
5,1,1,84,84
5,1,1,84,84
5,1,1,84,84
6,1,1,84,84
6,1,1,84,84
6,1,1,84,84
7,1,1,84,84
7,1,1,84,84
7,1,1,84,84
8,1,1,84,84
8,1,1,84,84
8,1,1,84,84
9,1,1,84,84
9,1,1,84,84
9,1,1,84,84
10,1,1,84,84
10,1,1,84,84
10,1,1,84,84
11,1,1,84,84
11,1,1,84,84
11,1,1,84,84
12,1,1,84,84
12,1,1,84,84
12,1,1,84,84
13,1,1,84,84
13,1,1,84,84
13,1,1,84,84
14,1,1,84,84
14,1,1,84,84
14,1,1,84,84
15,1,1,84,84
15,1,1,84,84
15,1,1,84,84
16,1,1,84,84
16,1,1,84,84
16,1,1,84,84
17,1,1,84,84
17,1,1,84,84
17,1,1,84,84
18,1,1,84,84
18,1,1,84,84
18,1,1,84,84
19,1,1,84,84
19,1,1,84,84
19,1,1,84,84
20,1,1,84,84
20,1,1,84,84
20,1,1,84,84
21,1,1,84,84
21,1,1,84,84
21,1,1,84,84
22,1,1,84,84
22,1,1,84,84
22,1,1,84,84
23,1,1,84,84
23,1,1,84,84
23,1,1,84,84
24,1,1,84,84
24,1,1,84,84
24,1,1,84,84
25,1,1,84,84
25,1,1,84,84
25,1,1,84,84
26,1,1,84,84
26,1,1,84,84
26,1,1,84,84
27,1,1,84,84
27,1,1,84,84
27,1,1,84,84
28,1,1,84,84
28,1,1,84,84
28,1,1,84,84
29,1,1,84,84
29,1,1,84,84
29,1,1,84,84
30,1,1,84,84
30,1,1,84,84
30,1,1,84,84
31,1,1,81.27,81.27
31,1,1,79.58,72.8
31,1,1,80.93,78.3
32,1,1,84,84
32,1,1,84,84
32,1,1,84,84
33,1,1,84,84
33,1,1,84,84
33,1,1,84,84
34,1,1,84,84
34,1,1,84,84
34,1,1,84,84
35,1,1,70.23,70.23
35,1,1,69.82,69.92
35,1,1,71.7,70.87
36,1,1,84,84
36,1,1,84,84
36,1,1,84,84
37,1,1,84,84
37,1,1,84,84
37,1,1,84,84
38,1,1,84,84
38,1,1,84,84
38,1,1,84,84
39,1,1,84,84
39,1,1,84,84
39,1,1,84,84
40,1,1,84,84
40,1,1,84,84
40,1,1,84,84
41,1,1,43.04,43.04
41,1,1,45.5,45.5
41,1,1,41.09,41.09
42,1,1,62.65,62.65
42,1,1,59.8,63.18
42,1,1,55.7,55.48
43,1,1,84,84
43,1,1,84,84
43,1,1,84,84
44,1,1,84,84
44,1,1,84,84
44,1,1,84,84
45,1,1,84,84
45,1,1,84,84
45,1,1,84,84
46,1,1,84,84
46,1,1,84,84
46,1,1,84,84
47,1,1,84,84
47,1,1,84,84
47,1,1,84,84
48,1,1,84,84
48,1,1,84,84
48,1,1,84,84
49,1,1,84,84
49,1,1,84,84
49,1,1,84,84
50,1,1,65.46,68.98
50,1,1,80.92,80.52
50,1,1,69.45,71.04
1,1,5,84,84
1,1,5,84,84
1,1,5,84,84
2,1,5,84,84
2,1,5,84,84
2,1,5,84,84
3,1,5,84,84
3,1,5,84,84
3,1,5,84,84
4,1,5,84,84
4,1,5,84,84
4,1,5,84,84
5,1,5,84,84
5,1,5,84,84
5,1,5,84,84
6,1,5,84,84
6,1,5,84,84
6,1,5,84,84
7,1,5,84,84
7,1,5,84,84
7,1,5,84,84
8,1,5,84,84
8,1,5,84,84
8,1,5,84,84
9,1,5,84,84
9,1,5,84,84
9,1,5,84,84
10,1,5,84,84
10,1,5,84,84
10,1,5,84,84
11,1,5,84,84
11,1,5,84,84
11,1,5,84,84
12,1,5,84,84
12,1,5,84,84
12,1,5,84,84
13,1,5,84,84
13,1,5,84,84
13,1,5,84,84
14,1,5,84,84
14,1,5,84,84
14,1,5,84,84
15,1,5,84,84
15,1,5,84,84
15,1,5,84,84
16,1,5,84,84
16,1,5,84,84
16,1,5,84,84
17,1,5,84,84
17,1,5,84,84
17,1,5,84,84
18,1,5,84,84
18,1,5,84,84
18,1,5,84,84
19,1,5,84,84
19,1,5,84,84
19,1,5,84,84
20,1,5,84,84
20,1,5,84,84
20,1,5,84,84
21,1,5,84,84
21,1,5,84,84
21,1,5,84,84
22,1,5,84,84
22,1,5,84,84
22,1,5,84,84
23,1,5,84,84
23,1,5,84,84
23,1,5,84,84
24,1,5,84,84
24,1,5,84,84
24,1,5,84,84
25,1,5,84,84
25,1,5,84,84
25,1,5,84,84
26,1,5,84,84
26,1,5,84,84
26,1,5,84,84
27,1,5,84,84
27,1,5,84,84
27,1,5,84,84
28,1,5,84,84
28,1,5,84,84
28,1,5,84,84
29,1,5,84,84
29,1,5,84,84
29,1,5,84,84
30,1,5,84,84
30,1,5,84,84
30,1,5,84,84
31,1,5,63.76,69.71
31,1,5,77.17,81.12
31,1,5,74.46,66.45
32,1,5,84,84
32,1,5,84,84
32,1,5,84,84
33,1,5,84,84
33,1,5,84,84
33,1,5,84,84
34,1,5,84,84
34,1,5,84,84
34,1,5,84,84
35,1,5,67.67,67.67
35,1,5,61.37,61.36
35,1,5,61.37,61.37
36,1,5,84,84
36,1,5,84,84
36,1,5,84,84
37,1,5,84,84
37,1,5,84,84
37,1,5,84,84
38,1,5,84,84
38,1,5,84,84
38,1,5,84,84
39,1,5,84,84
39,1,5,84,84
39,1,5,84,84
40,1,5,84,84
40,1,5,84,84
40,1,5,84,84
41,1,5,43.4,43.4
41,1,5,43.41,43.4
41,1,5,42.42,42.4
42,1,5,61.6,61.63
42,1,5,56,56.24
42,1,5,56.17,59.18
43,1,5,84,84
43,1,5,84,84
43,1,5,84,84
44,1,5,84,84
44,1,5,84,84
44,1,5,84,84
45,1,5,84,84
45,1,5,84,84
45,1,5,84,84
46,1,5,84,84
46,1,5,84,84
46,1,5,84,84
47,1,5,84,84
47,1,5,84,84
47,1,5,84,84
48,1,5,84,84
48,1,5,84,84
48,1,5,84,84
49,1,5,84,84
49,1,5,84,84
49,1,5,84,84
50,1,5,68.11,68.11
50,1,5,72.33,72.9
50,1,5,69.41,69.87
1,1,10,84,84
1,1,10,84,84
