ID,experimental_replicate,concentration,growth
26,1,0,83.77
26,1,0,80.55
26,1,0,83.22
7,1,0,80.14
7,1,0,79.75
7,1,0,80.8
20,1,0,66.62
20,1,0,61.65
20,1,0,63.62
40,1,0,61.78
40,1,0,60.92
40,1,0,60.16
27,1,0,64.09
27,1,0,62.08
27,1,0,63.24
42,1,0,67.11
42,1,0,65.08
42,1,0,65.2
43,1,0,61.13
43,1,0,62.68
43,1,0,61.61
44,1,0,59.03
44,1,0,58.45
44,1,0,57.98
26,1,1,38.75
26,1,1,39.33
26,1,1,38.84
7,1,1,51.15
7,1,1,54.27
7,1,1,54.29
20,1,1,40.81
20,1,1,40.69
20,1,1,40.43
40,1,1,37.94
40,1,1,38.77
40,1,1,38.59
27,1,1,26.95
27,1,1,27.4
27,1,1,26.89
42,1,1,34.76
42,1,1,32.66
42,1,1,33.8
43,1,1,31.17
43,1,1,32.49
43,1,1,30.9
44,1,1,28.54
44,1,1,29.56
44,1,1,30.27
26,1,5,18.71
26,1,5,18.93
26,1,5,19.28
7,1,5,35.64
7,1,5,33.19
7,1,5,34.87
20,1,5,28.31
20,1,5,27.16
20,1,5,28.7
40,1,5,33.28
40,1,5,32.59
40,1,5,31.37
27,1,5,17.16
27,1,5,16.47
27,1,5,15.91
42,1,5,22.44
42,1,5,22.52
42,1,5,23.04
43,1,5,25.08
43,1,5,24.33
43,1,5,24.1
44,1,5,21.67
44,1,5,22.17
44,1,5,21.43
26,1,10,17.86
26,1,10,17.07
26,1,10,17.05
7,1,10,30.78
7,1,10,31.97
7,1,10,29.72
20,1,10,27.64
20,1,10,26.07
20,1,10,26.93
40,1,10,30.53
40,1,10,30.19
40,1,10,30.81
27,1,10,14.89
27,1,10,13.08
27,1,10,14.5
42,1,10,20.98
42,1,10,21.18
42,1,10,21.47
43,1,10,19.52
43,1,10,20.53
43,1,10,20.94
44,1,10,19.57
44,1,10,17.19
44,1,10,19.87
26,1,50,16.44
26,1,50,16.74
26,1,50,16.38
7,1,50,19.33
