ID,experimental_replicate,concentration,growth
26,1,0,82.84
26,1,0,81.24
26,1,0,82
40,1,0,81.22
40,1,0,80.26
40,1,0,81.22
20,1,0,82.17
20,1,0,80.12
20,1,0,81.89
7,1,0,81.88
7,1,0,80.49
7,1,0,80.11
44,1,0,79.88
44,1,0,77.55
44,1,0,79.17
27,1,0,79.88
27,1,0,79.84
27,1,0,80.09
43,1,0,72.97
43,1,0,73.95
43,1,0,73.42
42,1,0,77.17
42,1,0,76.47
42,1,0,77.51
26,1,100,37.46
26,1,100,37.94
26,1,100,36.29
40,1,100,41.01
40,1,100,40.42
40,1,100,42.25
20,1,100,39
20,1,100,39.52
20,1,100,38.36
7,1,100,31.73
7,1,100,32.77
7,1,100,33.08
44,1,100,34.39
44,1,100,36.77
44,1,100,35.73
27,1,100,39.75
27,1,100,39.72
27,1,100,39.51
43,1,100,40.41
43,1,100,40.28
43,1,100,39.55
42,1,100,38.89
42,1,100,39.3
42,1,100,40.79
26,1,500,24.13
26,1,500,25.29
26,1,500,24.9
40,1,500,29.71
40,1,500,29.59
40,1,500,29.57
20,1,500,22.53
20,1,500,23.73
20,1,500,23.1
7,1,500,22.04
7,1,500,21.48
7,1,500,21.34
44,1,500,23.15
44,1,500,24.75
44,1,500,23.78
27,1,500,26.59
27,1,500,24.17
27,1,500,25.95
43,1,500,28.13
43,1,500,29.26
43,1,500,28.77
42,1,500,30.03
42,1,500,30.39
42,1,500,29.57
26,1,1000,20.9
26,1,1000,20.88
26,1,1000,20.95
40,1,1000,25.84
40,1,1000,24.46
40,1,1000,26.68
20,1,1000,21.42
20,1,1000,21.1
20,1,1000,20.97
7,1,1000,19.47
7,1,1000,19.21
7,1,1000,19.09
44,1,1000,22.91
44,1,1000,22.8
44,1,1000,22.44
27,1,1000,20.83
27,1,1000,21.44
27,1,1000,21.1
43,1,1000,25.7
43,1,1000,26.44
43,1,1000,26.16
42,1,1000,23.73
42,1,1000,24.87
42,1,1000,24.9
26,1,2500,17.06
26,1,2500,17.03
26,1,2500,17.27
40,1,2500,21.51
40,1,2500,20.49
40,1,2500,20.84
20,1,2500,17.23
20,1,2500,15.93
20,1,2500,16.42
7,1,2500,16.89
7,1,2500,16.36
7,1,2500,16.51
44,1,2500,19.76
44,1,2500,19.12
44,1,2500,18.74
27,1,2500,19.41
27,1,2500,19.02
27,1,2500,19.15
43,1,2500,22.73
43,1,2500,22.3
43,1,2500,21.63
42,1,2500,20.84
42,1,2500,20.24
42,1,2500,20.09
26,1,5000,14.5
26,1,5000,14.35
26,1,5000,14.1
40,1,5000,14.43
40,1,5000,15.14
40,1,5000,14.78
20,1,5000,12.52
20,1,5000,13.48
20,1,5000,12.87
7,1,5000,14.13
7,1,5000,13.84
7,1,5000,13.8
44,1,5000,16.98
44,1,5000,16.95
44,1,5000,16.56
27,1,5000,15.88
27,1,5000,16.6
27,1,5000,16.52
43,1,5000,17.22
43,1,5000,16.99
43,1,5000,15.4
42,1,5000,15.61
42,1,5000,13.64
42,1,5000,13.97
26,2,0,82.68
26,2,0,81.97
26,2,0,82.86
40,2,0,81.8
40,2,0,81.73
40,2,0,81.84
20,2,0,81.72
20,2,0,81.51
20,2,0,82.05
7,2,0,80.83
7,2,0,81.1
7,2,0,81.03
44,2,0,80.3
44,2,0,80.4
44,2,0,80.57
27,2,0,81.6
27,2,0,81.95
27,2,0,81.53
43,2,0,75.64
43,2,0,76.1
43,2,0,75.97
42,2,0,78.61
42,2,0,78.89
