ID,experimental_replicate,concentration,growth
2,1,0,6.82
2,1,0,6.42
2,1,0,7.42
3,1,0,7.56
3,1,0,7.44
3,1,0,7.47
4,1,0,6
4,1,0,6.08
4,1,0,6.37
8,1,0,59.08
8,1,0,59.58
8,1,0,59.12
12,1,0,9.26
12,1,0,8.21
12,1,0,9.79
13,1,0,6
13,1,0,6
13,1,0,7.06
41,1,0,7.56
41,1,0,9.09
41,1,0,8.22
42,1,0,6
42,1,0,7.89
42,1,0,9.29
43,1,0,16.96
43,1,0,17.16
43,1,0,15.15
44,1,0,43.98
44,1,0,43.29
44,1,0,43.99
46,1,0,24.08
46,1,0,28.95
46,1,0,26.11
47,1,0,14.4
47,1,0,14.7
47,1,0,16.93
48,1,0,17.61
48,1,0,17.61
48,1,0,16.79
50,1,0,28.6
50,1,0,30.27
50,1,0,27.43
52,1,0,78.67
52,1,0,77.59
52,1,0,80.58
54,1,0,32.39
54,1,0,32.02
54,1,0,31.77
59,1,0,84
59,1,0,84
59,1,0,84
60,1,0,7.35
60,1,0,7.02
60,1,0,7.38
61,1,0,43.9
61,1,0,45.06
61,1,0,42.69
62,1,0,8.73
62,1,0,7.97
62,1,0,7.73
63,1,0,18.88
63,1,0,20.28
63,1,0,20.64
64,1,0,9.59
64,1,0,9.76
64,1,0,10.17
66,1,0,52.45
66,1,0,54.26
66,1,0,55.74
73,1,0,7
73,1,0,7.66
73,1,0,7.22
76,1,0,16.08
76,1,0,15.87
76,1,0,15.26
77,1,0,29.77
77,1,0,31.64
77,1,0,26.07
78,1,0,6
78,1,0,6.51
78,1,0,6.56
79,1,0,7.08
79,1,0,6.8
79,1,0,9.34
80,1,0,6
80,1,0,6
80,1,0,6.95
82,1,0,14.26
82,1,0,17.21
82,1,0,14.79
91,1,0,70
91,1,0,61.66
91,1,0,69.11
92,1,0,84
92,1,0,84
92,1,0,84
95,1,0,35.29
95,1,0,39.5
95,1,0,42.5
97,1,0,84
97,1,0,84
97,1,0,84
98,1,0,84
98,1,0,84
98,1,0,84
100,1,0,45.89
100,1,0,46.94
100,1,0,43.93
101,1,0,84
101,1,0,84
101,1,0,84
102,1,0,84
102,1,0,83.85
102,1,0,84
104,1,0,84
104,1,0,84
104,1,0,84
105,1,0,59.55
105,1,0,58.94
105,1,0,60.8
108,1,0,36.05
108,1,0,34.06
108,1,0,38.46
111,1,0,84
111,1,0,84
111,1,0,84
116,1,0,42.17
116,1,0,48.68
116,1,0,42.95
124,1,0,46.22
124,1,0,45.85
124,1,0,44.03
126,1,0,76.46
126,1,0,76.8
126,1,0,80.58
128,1,0,60.42
128,1,0,68.95
128,1,0,64.69
129,1,0,76.24
129,1,0,77.25
129,1,0,77.7
134,1,0,68.8
134,1,0,66.54
134,1,0,62.98
135,1,0,82.79
135,1,0,86.97
135,1,0,83.79
138,1,0,75.38
138,1,0,79.39
138,1,0,77.46
140,1,0,76.66
140,1,0,75.56
140,1,0,75.11
151,1,0,30.61
151,1,0,29.6
151,1,0,30.16
152,1,0,79.05
152,1,0,79.67
152,1,0,78.13
162,1,0,79.13
162,1,0,78.21
162,1,0,77.97
168,1,0,62.06
168,1,0,65.06
168,1,0,67.28
169,1,0,84
169,1,0,84
169,1,0,84
170,1,0,84
170,1,0,84
