ID,experimental_replicate,concentration,growth
1,1,0,65.61
1,1,0,66.68
1,1,0,65.28
2,1,0,61.44
2,1,0,66.31
2,1,0,59.53
3,1,0,84
3,1,0,84
3,1,0,84
4,1,0,65.21
4,1,0,65.14
4,1,0,64.32
8,1,0,79.44
8,1,0,78.13
8,1,0,73.52
10,1,0,70.18
10,1,0,69.22
10,1,0,67.77
12,1,0,62.92
12,1,0,61.35
12,1,0,62.14
13,1,0,51.19
13,1,0,51.37
13,1,0,56.25
41,1,0,68.45
41,1,0,62.31
41,1,0,65.38
42,1,0,84
42,1,0,84
42,1,0,84
43,1,0,84
43,1,0,84
43,1,0,84
44,1,0,84
44,1,0,84
44,1,0,84
46,1,0,61.94
46,1,0,59.56
46,1,0,58.61
47,1,0,62.54
47,1,0,65.52
47,1,0,64.03
48,1,0,84
48,1,0,84
48,1,0,84
50,1,0,71.91
50,1,0,72.23
50,1,0,71.6
52,1,0,84
52,1,0,84
52,1,0,84
53,1,0,84
53,1,0,84
53,1,0,84
54,1,0,62.83
54,1,0,62.29
54,1,0,63.37
56,1,0,77.3
56,1,0,75.55
56,1,0,74.73
57,1,0,76.38
57,1,0,75.12
57,1,0,75.75
59,1,0,84
59,1,0,84
59,1,0,84
60,1,0,75.25
60,1,0,75.12
60,1,0,74.49
61,1,0,71.96
61,1,0,70.73
61,1,0,70.95
62,1,0,62.52
62,1,0,61.66
62,1,0,60.21
63,1,0,66.41
63,1,0,70.54
63,1,0,69.02
64,1,0,84
64,1,0,84
64,1,0,84
66,1,0,71.75
66,1,0,71.98
66,1,0,70.77
67,1,0,66.99
67,1,0,69.99
67,1,0,68.49
69,1,0,68.05
69,1,0,66.7
69,1,0,66.55
71,1,0,66.6
71,1,0,67.57
71,1,0,68.58
73,1,0,74.99
73,1,0,73.23
73,1,0,71.48
74,1,0,50.68
74,1,0,51.56
74,1,0,48.37
76,1,0,84
76,1,0,84
76,1,0,84
77,1,0,26.46
77,1,0,29.96
77,1,0,29.65
78,1,0,69.43
78,1,0,66.98
78,1,0,68.2
79,1,0,68.15
79,1,0,66.14
79,1,0,67.14
80,1,0,74.03
80,1,0,74.18
80,1,0,77.99
81,1,0,66.13
81,1,0,70.16
81,1,0,69.73
82,1,0,65.56
82,1,0,67.99
82,1,0,68.43
91,1,0,84
91,1,0,84
91,1,0,84
92,1,0,84
92,1,0,84
92,1,0,84
95,1,0,84
95,1,0,84
95,1,0,84
97,1,0,84
97,1,0,84
97,1,0,84
98,1,0,82.1
98,1,0,81.09
98,1,0,79.81
100,1,0,84
100,1,0,84
100,1,0,84
101,1,0,84
101,1,0,84
101,1,0,84
102,1,0,84
102,1,0,84
102,1,0,84
104,1,0,84
104,1,0,84
104,1,0,84
105,1,0,84
105,1,0,84
105,1,0,84
108,1,0,84
108,1,0,84
108,1,0,84
111,1,0,84
111,1,0,84
111,1,0,84
116,1,0,84
116,1,0,84
116,1,0,84
124,1,0,84
124,1,0,84
124,1,0,84
126,1,0,84
126,1,0,84
126,1,0,84
128,1,0,84
128,1,0,84
128,1,0,84
129,1,0,84
129,1,0,84
129,1,0,84
134,1,0,84
134,1,0,84
134,1,0,84
135,1,0,84
135,1,0,84
135,1,0,84
138,1,0,84
138,1,0,84
138,1,0,84
140,1,0,84
140,1,0,84
140,1,0,84
151,1,0,84
151,1,0,84
151,1,0,83.45
152,1,0,84
152,1,0,84
152,1,0,84
162,1,0,84
162,1,0,84
162,1,0,84
168,1,0,75.48
168,1,0,73.58
168,1,0,72.6
169,1,0,84
169,1,0,84
169,1,0,84
170,1,0,84
170,1,0,84
170,1,0,84
171,1,0,84
171,1,0,84
171,1,0,84
172,1,0,84
172,1,0,84
172,1,0,84
173,1,0,84
173,1,0,84
173,1,0,84
174,1,0,84
174,1,0,84
174,1,0,84
175,1,0,84
175,1,0,84
175,1,0,84
176,1,0,84
176,1,0,84
176,1,0,84
177,1,0,84
177,1,0,84
177,1,0,84
178,1,0,84
178,1,0,84
178,1,0,84
179,1,0,84
179,1,0,84
179,1,0,84
180,1,0,84
180,1,0,84
180,1,0,84
181,1,0,84
181,1,0,84
181,1,0,84
182,1,0,84
182,1,0,84
182,1,0,84
183,1,0,84
183,1,0,84
183,1,0,84
184,1,0,84
184,1,0,84
184,1,0,84
185,1,0,84
185,1,0,84
185,1,0,84
186,1,0,84
186,1,0,84
186,1,0,84
1,1,1,67.54
1,1,1,66.24
1,1,1,66.89
2,1,1,58.29
2,1,1,61.83
2,1,1,60.06
3,1,1,84
3,1,1,84
3,1,1,84
4,1,1,60.14
4,1,1,58.64
4,1,1,61.39
8,1,1,75.73
8,1,1,73.83
8,1,1,73.67
10,1,1,69.41
10,1,1,71.06
10,1,1,70.24
12,1,1,57.21
12,1,1,59.85
12,1,1,58.11
13,1,1,51.44
13,1,1,52.53
13,1,1,51.98
41,1,1,64.36
41,1,1,64.62
41,1,1,65.21
42,1,1,84
42,1,1,84
42,1,1,84
43,1,1,84
43,1,1,84
43,1,1,84
44,1,1,84
44,1,1,84
44,1,1,84
46,1,1,57.3
46,1,1,56.79
46,1,1,57.04
47,1,1,59.36
47,1,1,57.19
47,1,1,58.27
48,1,1,84
48,1,1,84
48,1,1,84
50,1,1,64.79
50,1,1,62.91
50,1,1,63.85
52,1,1,84
52,1,1,84
52,1,1,84
53,1,1,84
53,1,1,83.48
53,1,1,84
54,1,1,60.7
54,1,1,60.99
54,1,1,61.69
56,1,1,76.25
56,1,1,77.89
56,1,1,77.92
57,1,1,72.19
57,1,1,73.34
57,1,1,76.48
59,1,1,84
59,1,1,80.34
59,1,1,81.78
60,1,1,71.75
60,1,1,70.67
60,1,1,72.83
61,1,1,72
61,1,1,69.74
61,1,1,68.58
62,1,1,54.51
62,1,1,57.21
62,1,1,55.86
63,1,1,51.21
63,1,1,56.8
63,1,1,54
64,1,1,78.85
64,1,1,79.88
64,1,1,80.24
66,1,1,69.81
66,1,1,67.62
