ID,experimental_replicate,concentration,growth
26,1,0,82.06
26,1,0,82.55
26,1,0,82.65
27,1,0,68.61
27,1,0,70.78
27,1,0,67.93
42,1,0,59.81
42,1,0,59.51
42,1,0,59.87
20,1,0,74.57
20,1,0,70.5
20,1,0,69.38
43,1,0,67.15
43,1,0,68.46
43,1,0,67.26
7,1,0,82.5
7,1,0,81
7,1,0,81.48
44,1,0,66.77
44,1,0,66.84
44,1,0,65.13
40,1,0,69.39
40,1,0,69.6
40,1,0,68.08
26,1,0.1,81.49
26,1,0.1,80.68
26,1,0.1,81.61
27,1,0.1,52
27,1,0.1,53.26
27,1,0.1,53.12
42,1,0.1,53.34
42,1,0.1,53.82
42,1,0.1,54.09
20,1,0.1,64.23
20,1,0.1,64.82
20,1,0.1,65.69
43,1,0.1,66.91
43,1,0.1,66.35
43,1,0.1,66.15
7,1,0.1,80.09
7,1,0.1,79.79
7,1,0.1,78.97
44,1,0.1,58.75
44,1,0.1,57.56
44,1,0.1,57.89
40,1,0.1,64.17
40,1,0.1,65.03
40,1,0.1,65.27
26,1,0.5,74.81
26,1,0.5,76.61
26,1,0.5,73.9
27,1,0.5,55.02
27,1,0.5,56.13
27,1,0.5,57.38
42,1,0.5,53.05
42,1,0.5,59.56
42,1,0.5,55.49
20,1,0.5,64.08
20,1,0.5,64.47
20,1,0.5,64.16
43,1,0.5,58.17
43,1,0.5,58.33
43,1,0.5,59.06
7,1,0.5,73.92
7,1,0.5,73.56
7,1,0.5,74.11
44,1,0.5,57.86
44,1,0.5,58.78
44,1,0.5,56.22
40,1,0.5,62.05
40,1,0.5,62.2
40,1,0.5,62.42
26,1,1,70.19
26,1,1,70.38
26,1,1,70.36
27,1,1,58.29
27,1,1,56.17
27,1,1,57.31
42,1,1,57.14
42,1,1,59.32
42,1,1,59.92
20,1,1,63.35
20,1,1,63.8
20,1,1,62.09
43,1,1,55.54
43,1,1,56.98
43,1,1,56.54
7,1,1,69.18
7,1,1,68.94
7,1,1,67.27
44,1,1,59.28
44,1,1,59.21
44,1,1,59.25
40,1,1,56.93
40,1,1,56.79
40,1,1,57.07
26,1,5,68.6
26,1,5,67.67
26,1,5,68.46
27,1,5,52.78
27,1,5,51.12
27,1,5,52.32
42,1,5,56.6
42,1,5,54.05
42,1,5,55.22
20,1,5,59.94
20,1,5,57.37
20,1,5,58.33
43,1,5,54.11
43,1,5,55.07
43,1,5,54.8
7,1,5,63.09
7,1,5,63.04
7,1,5,62.6
44,1,5,55.68
44,1,5,55.77
44,1,5,55.35
40,1,5,52.46
40,1,5,53.31
40,1,5,52.73
26,1,10,62.91
26,1,10,62.37
26,1,10,60.13
27,1,10,50.27
27,1,10,50.85
27,1,10,50.45
42,1,10,51.24
42,1,10,51.78
42,1,10,51.31
20,1,10,53.27
20,1,10,53.82
20,1,10,54.2
43,1,10,52.72
43,1,10,51.55
43,1,10,51.63
7,1,10,60.09
7,1,10,60.85
7,1,10,60.22
44,1,10,54
44,1,10,53.9
44,1,10,54.16
40,1,10,50.12
40,1,10,48.57
40,1,10,48.3
26,1,50,48.56
26,1,50,49.87
26,1,50,48.81
27,1,50,48.77
27,1,50,48.92
27,1,50,47.09
42,1,50,50.15
42,1,50,50.27
42,1,50,50.58
20,1,50,51.33
20,1,50,51.86
20,1,50,51.91
43,1,50,50.47
43,1,50,50.21
43,1,50,50.19
7,1,50,58.15
7,1,50,58.41
7,1,50,57.53
44,1,50,52.43
44,1,50,52.42
44,1,50,51.73
40,1,50,46.27
40,1,50,47.66
40,1,50,45.07
26,2,0,80.47
26,2,0,82.42
26,2,0,83.19
27,2,0,70.88
27,2,0,70.56
27,2,0,71.54
42,2,0,71.55
42,2,0,72.08
42,2,0,72.63
20,2,0,74.64
20,2,0,74.39
20,2,0,73.53
43,2,0,79.99
43,2,0,77.58
43,2,0,78.83
7,2,0,82.99
7,2,0,80.93
7,2,0,81.31
44,2,0,80.32
44,2,0,81.69
44,2,0,80.01
40,2,0,78.49
40,2,0,78.02
40,2,0,79.93
26,2,0.1,79.83
26,2,0.1,79.48
26,2,0.1,79.25
27,2,0.1,64.78
27,2,0.1,66.11
27,2,0.1,63.22
42,2,0.1,66.27
42,2,0.1,67.98
42,2,0.1,67.58
20,2,0.1,67.01
20,2,0.1,68.27
20,2,0.1,68.2
43,2,0.1,66.94
43,2,0.1,68.42
43,2,0.1,69.13
7,2,0.1,79.71
7,2,0.1,78.04
7,2,0.1,79.37
44,2,0.1,74.86
44,2,0.1,73.37
44,2,0.1,71.54
40,2,0.1,71.45
40,2,0.1,70.18
40,2,0.1,70.95
26,2,0.5,77.31
26,2,0.5,78.55
26,2,0.5,77.5
27,2,0.5,59.63
27,2,0.5,58.65
27,2,0.5,59.61
42,2,0.5,64.48
42,2,0.5,64.65
42,2,0.5,63.55
20,2,0.5,65.34
20,2,0.5,64.41
20,2,0.5,64.25
43,2,0.5,63.29
43,2,0.5,64.66
43,2,0.5,64.72
7,2,0.5,76.58
7,2,0.5,77.82
7,2,0.5,77.21
44,2,0.5,70.4
44,2,0.5,71.21
44,2,0.5,71.98
40,2,0.5,67.84
40,2,0.5,67.73
40,2,0.5,67.2
26,2,1,76.51
26,2,1,76.98
26,2,1,75.31
27,2,1,57.37
27,2,1,57.14
27,2,1,57.19
42,2,1,57.52
42,2,1,57.75
42,2,1,57.61
20,2,1,61.95
20,2,1,61.78
20,2,1,62.64
43,2,1,62.47
43,2,1,62.47
43,2,1,62.47
7,2,1,74.44
7,2,1,73.72
7,2,1,73.66
44,2,1,68.63
44,2,1,67.18
44,2,1,67.43
40,2,1,64.12
40,2,1,63.22
40,2,1,63.97
26,2,5,72.77
26,2,5,71.61
26,2,5,73.72
27,2,5,50.31
27,2,5,52.01
27,2,5,52.19
42,2,5,54.48
42,2,5,54.02
42,2,5,55.05
20,2,5,58
20,2,5,59.77
20,2,5,57.79
43,2,5,60.48
43,2,5,61.9
43,2,5,61
7,2,5,72.65
7,2,5,72.88
7,2,5,72.53
44,2,5,57.5
44,2,5,56.89
44,2,5,52.57
40,2,5,60.95
40,2,5,60.57
40,2,5,59.81
26,2,10,50.51
