"","ID","Estimate.10","SE.10","EC50","SE.50","Estimate.90","SE.90"
"1","CAM 3",0.021149373203318,0.00189137616629273,0.120869128202023,0.00516901779552428,0.690769698556605,0.0467011543807036
"2","CAM1",0.0142874160188876,0.00150667115095373,0.109588642942085,0.00528047733430271,0.840576815710506,0.0616716240728273
"3","GRO 13-2",0.0104671366202774,0.00140858373126573,0.113661639466386,0.00653517118607998,1.23424091562535,0.107142975807609
"4","GRO 2-1",0.0221814374367229,0.00267324876315383,0.142822413100164,0.0080858380129304,0.9196086476336,0.0774059580719794
"5","GRO 5-2",0.0172032894764978,0.00144526913364145,0.133412874853955,0.00503485557097375,1.03462742989432,0.0572952325421219
"6","MICH 10-1",0.0146622586890699,0.00233105921758866,0.100643825718012,0.00698795390006568,0.690833511395382,0.0844227488733502
"7","MICH 9-2",0.0155279986377276,0.0032745116734538,0.10779173065633,0.00969155508817495,0.74826495474159,0.130508334591652
"8","NAY 13-3",0.00760975101653597,0.000865577541789147,0.0880874371182033,0.00429509178092876,1.01966497473994,0.0720045974146817
"9","NAY 14-3",0.01663537220275,0.00153741968551181,0.124991404402882,0.00540029330498523,0.939134453031482,0.0582626352120332
"10","NAY 15-2",0.0145643787624274,0.00117509609253175,0.125478370172396,0.0046245953941906,1.08104998077492,0.0568827436564279
"11","NAY 3-1",0.0136638835666688,0.00157456989968092,0.116646855476234,0.00611898839565143,0.9957995343055,0.0778861734941424
"12","NAY 8-3",0.0131069315006083,0.00132090991822102,0.104708809698556,0.00475366035081744,0.836498979793971,0.0567620834263505
"13","NAY 9-1",0.0151843891033587,0.00121456530382258,0.11711223637727,0.00414596304453895,0.903248449175457,0.0498064621340331
"14","OAX 2-1",0.0221510049698974,0.00360479452097048,0.134021247748146,0.0104153172681667,0.810874940996102,0.104493169791332
"15","OAX 3-2",0.0210731645181865,0.00263686862186863,0.145297629203648,0.00851416593158822,1.00181446569077,0.0974121388416152
"16","OAX 4-1",0.0196213829653779,0.0025498359076956,0.132753272710422,0.00782679794264673,0.898174784439212,0.0876260715839625
"17","OAX 9-2",0.0143356050326001,0.00117612649413779,0.118503373746871,0.00428676754281786,0.979592389540299,0.0523151275988484
"18","SIN 22-3",0.0187118970303378,0.00265975193895874,0.170348469908245,0.0107989647136815,1.5508102226638,0.153168073570762
"19","SIN 24-1",0.0156226931932613,0.0022843559649608,0.133472374222578,0.00866484450957117,1.14032033147116,0.119657307402637
"20","TAB 1",0.0105346506790275,0.0012815832558114,0.102776657972942,0.00562709738523374,1.00269498685098,0.0750593923907818
"21","VER 1-1",0.0148778022580731,0.00305372658239087,0.0975981553080852,0.00846944670489761,0.640242406392543,0.107923408418524
"22","VER 10-3",0.0167506022099884,0.00296208919346487,0.113511618684218,0.00902946556888363,0.769219363864305,0.110235740309952
"23","VER 12-1",0.018216735329118,0.00277969471254369,0.128453921061514,0.00874519288215012,0.905783036200954,0.106312535188817
"24","VER 2-1",0.0106646365062387,0.0025138817316548,0.092026948124166,0.00880341601469265,0.794116065380542,0.139620499499463
"25","VER 3-3",0.0131442047136238,0.00290008168774689,0.108528953603942,0.0103097989023121,0.896100907357162,0.151300616604105
