"","ID","Efficacy1","Efficacy5","Efficacy10","Efficacy50","Efficacy100","Efficacy500"
"1",1,7.92,17.95,48.05,51.61,88.34,88
"2",2,45.08,41.91,54.98,69.67,80.6,82.64
"3",3,34.76,34.54,44.82,58.52,81.11,92.06
"4",4,18.93,32.09,51.3,65.45,94.86,96.9
"5",5,32.1,51.99,76.7,81.25,76.42,97.73
"6",6,31.49,49.42,45.75,69.47,85.34,67.63
"7",7,36.59,38.27,60.38,62.7,82.97,98.16
"8",8,5.63,37.03,56.42,82.92,88.83,97.6
"9",9,24.84,29.58,45.71,69.53,76.82,98.21
"10",10,25.7,40.51,55.45,60.9,88.44,90.6
"11",11,4.53,17.01,53.97,56.3,50.7,89.31
"12",12,25.28,25.6,64,65.82,62.32,81.76
"13",13,14.94,26.13,45.03,54.32,67.11,89.69
"14",14,65.76,41.03,43.82,69.71,82.87,90.29
"15",15,12.27,-0.06,11.79,40.23,47.93,71.03
"16",16,2.3,27.22,35.4,61.34,72.46,68.34
"17",17,41.8,42.04,59.02,65.23,73.25,81.56
"18",18,28.35,38.92,62.68,83.97,92.64,99.05
"19",19,33.74,37.37,58.4,66.56,44.61,92.91
"20",20,38.53,-6.45,8.11,41.25,61.39,79.47
"21",21,74.02,76.59,69.81,84.37,86.62,99.92
"22",22,22.6,16.71,27.2,48.18,71.03,68.36
"23",23,10.14,70.05,65.77,75.43,95.71,95.43
"24",24,20.3,39.74,58.74,64.81,83.45,82.95
"25",25,23.9,19.63,44.73,64.41,76.78,90.07
"26",26,8.77,39.5,46.54,54.98,62.88,64.07
"27",27,4.3,30.43,30.23,38.34,19.62,49.15
"28",28,27.26,46.47,48.95,66.05,56.75,54.4
"29",29,35.85,32.09,45.45,59.56,81.38,64.26
"30",30,-11.01,10.12,54.37,66.07,78.37,94.64
"31",31,23.19,37.68,44.2,49.28,64.49,86.23
"32",32,18.69,36.28,42.71,53.71,62.88,78.52
"33",33,19.62,27.92,45.16,63.9,76.23,82.14
"34",34,36.4,64.2,59.26,77.38,84.6,99.84
"35",35,36.58,35.45,56.29,67.66,70.63,71.01
"36",36,22.27,56.44,61.65,73.33,69.76,77.1
"37",37,3.75,46.97,-6.46,36.7,59.08,63.48
"38",38,0.15,14.45,47.74,72.32,89.93,90.95
"39",39,12.57,52.68,72.46,75.08,88.09,89.95
"40",40,5.86,27.58,14.1,57.59,73.93,78.76
"41",41,12.41,10.54,88.34,93.68,92.86,100
"42",42,4.7,12.85,28.47,44.23,47.88,58.83
"43",43,35.53,45.58,57.06,57.46,92.79,94.72
"44",44,42.11,64.14,61.16,78.54,76.45,92.81
"45",45,61.11,62.61,85.34,91.29,88.29,97.23
"46",46,48.37,46.54,59.24,73.64,80.77,91.85
"47",47,38.74,50.3,68.17,78.14,88.77,96.61
"48",48,23.04,16.13,55.53,47.24,49.54,60.37
"49",49,27.92,53.72,74.06,82.28,96.67,97.87
"50",50,39.86,49.28,53,71.07,68.94,72.51
